time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:07.475,mclaren,renault,,,lando-norris,1,pirelli,71,4
1:07.657,mercedes,mercedes,+0.182,+0.182,valtteri-bottas,2,pirelli,68,77
1:07.712,mercedes,mercedes,+0.055,+0.237,lewis-hamilton,3,pirelli,67,44
1:07.901,ferrari,ferrari,+0.189,+0.426,charles-leclerc,4,pirelli,64,16
1:07.974,mclaren,renault,+0.073,+0.499,carlos-sainz-jr,5,pirelli,63,55
1:08.305,racing-point,bwt-mercedes,+0.331,+0.830,sergio-perez,6,pirelli,63,11
1:08.432,red-bull,honda,+0.127,+0.957,alexander-albon,7,pirelli,50,23
1:08.623,ferrari,ferrari,+0.191,+1.148,sebastian-vettel,8,pirelli,71,5
1:08.796,alfa-romeo,ferrari,+0.173,+1.321,antonio-giovinazzi,9,pirelli,70,99
1:08.932,renault,renault,+0.136,+1.457,esteban-ocon,10,pirelli,64,31
1:09.025,alphatauri,honda,+0.093,+1.550,pierre-gasly,11,pirelli,64,10
1:09.031,alfa-romeo,ferrari,+0.006,+1.556,kimi-raikkonen,12,pirelli,48,7
1:09.135,alphatauri,honda,+0.104,+1.660,daniil-kvyat,13,pirelli,50,26
1:09.317,williams,mercedes,+0.182,+1.842,george-russell,14,pirelli,49,63
1:09.351,red-bull,honda,+0.034,+1.876,max-verstappen,15,pirelli,5,33
1:09.662,williams,mercedes,+0.311,+2.187,nicholas-latifi,16,pirelli,63,6
1:10.228,haas,ferrari,+0.566,+2.753,romain-grosjean,17,pirelli,46,8
1:10.326,racing-point,bwt-mercedes,+0.098,+2.851,lance-stroll,18,pirelli,4,18
1:10.610,renault,renault,+0.284,+3.135,daniel-ricciardo,19,pirelli,8,3
1:10.720,haas,ferrari,+0.110,+3.245,kevin-magnussen,20,pirelli,23,20
