time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
23.280,haas,ferrari,1,romain-grosjean,1,pirelli,20,8
23.229,alfa-romeo,ferrari,1,kimi-raikkonen,2,pirelli,24,7
23.659,alfa-romeo,ferrari,1,antonio-giovinazzi,3,pirelli,25,99
21.417,williams,mercedes,1,george-russell,4,pirelli,25,63
21.937,mercedes,mercedes,1,valtteri-bottas,5,pirelli,26,77
21.850,mercedes,mercedes,1,lewis-hamilton,6,pirelli,26,44
21.279,red-bull,honda,1,alexander-albon,7,pirelli,26,23
23.637,mclaren,renault,1,lando-norris,8,pirelli,26,4
22.383,racing-point,bwt-mercedes,1,sergio-perez,9,pirelli,26,11
22.756,ferrari,ferrari,1,charles-leclerc,10,pirelli,26,16
23.827,mclaren,renault,1,carlos-sainz-jr,11,pirelli,26,55
22.231,ferrari,ferrari,1,sebastian-vettel,12,pirelli,26,5
22.466,alphatauri,honda,1,pierre-gasly,13,pirelli,26,10
22.769,alphatauri,honda,1,daniil-kvyat,14,pirelli,26,26
21.683,renault,renault,1,esteban-ocon,15,pirelli,26,31
22.058,williams,mercedes,1,nicholas-latifi,16,pirelli,26,6
21.842,red-bull,honda,2,alexander-albon,17,pirelli,51,23
21.921,mclaren,renault,2,lando-norris,18,pirelli,51,4
21.972,ferrari,ferrari,2,charles-leclerc,19,pirelli,51,16
21.622,alphatauri,honda,2,daniil-kvyat,20,pirelli,51,26
21.569,alfa-romeo,ferrari,2,kimi-raikkonen,21,pirelli,51,7
22.738,ferrari,ferrari,2,sebastian-vettel,22,pirelli,51,5
21.918,williams,mercedes,2,nicholas-latifi,23,pirelli,51,6
21.805,mclaren,renault,2,carlos-sainz-jr,24,pirelli,52,55
22.800,alfa-romeo,ferrari,2,antonio-giovinazzi,25,pirelli,55,99
16.407,mercedes,mercedes,2,valtteri-bottas,26,pirelli,56,77
16.365,mercedes,mercedes,2,lewis-hamilton,27,pirelli,56,44
16.546,racing-point,bwt-mercedes,2,sergio-perez,28,pirelli,56,11
17.035,red-bull,honda,3,alexander-albon,29,pirelli,56,23
18.163,mclaren,renault,3,lando-norris,30,pirelli,56,4
18.748,ferrari,ferrari,3,charles-leclerc,31,pirelli,56,16
19.911,alphatauri,honda,2,pierre-gasly,32,pirelli,56,10
20.064,mclaren,renault,3,carlos-sainz-jr,33,pirelli,56,55
19.626,renault,renault,2,esteban-ocon,34,pirelli,56,31
19.656,alphatauri,honda,3,daniil-kvyat,35,pirelli,56,26
19.330,ferrari,ferrari,3,sebastian-vettel,36,pirelli,56,5
19.488,williams,mercedes,3,nicholas-latifi,37,pirelli,56,6
19.678,alfa-romeo,ferrari,3,antonio-giovinazzi,38,pirelli,56,99
