time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:05.619,mclaren,renault,,,carlos-sainz-jr,1,pirelli,68,55
1:06.145,red-bull,honda,+0.526,+0.526,max-verstappen,2,pirelli,70,33
1:06.719,mercedes,mercedes,+0.574,+1.100,lewis-hamilton,3,pirelli,68,44
1:07.188,racing-point,bwt-mercedes,+0.469,+1.569,sergio-perez,4,pirelli,68,11
1:07.193,mclaren,renault,+0.005,+1.574,lando-norris,5,pirelli,66,4
1:07.299,red-bull,honda,+0.106,+1.680,alexander-albon,6,pirelli,67,23
1:07.534,mercedes,mercedes,+0.235,+1.915,valtteri-bottas,7,pirelli,62,77
1:07.827,alphatauri,honda,+0.293,+2.208,pierre-gasly,8,pirelli,69,10
1:07.832,renault,renault,+0.005,+2.213,daniel-ricciardo,9,pirelli,65,3
1:07.833,racing-point,bwt-mercedes,+0.001,+2.214,lance-stroll,10,pirelli,65,18
1:08.009,haas,ferrari,+0.176,+2.390,kevin-magnussen,11,pirelli,69,20
1:08.047,haas,ferrari,+0.038,+2.428,romain-grosjean,12,pirelli,69,8
1:08.378,alphatauri,honda,+0.331,+2.759,daniil-kvyat,13,pirelli,60,26
1:08.382,alfa-romeo,ferrari,+0.004,+2.763,kimi-raikkonen,14,pirelli,57,7
1:08.512,alfa-romeo,ferrari,+0.130,+2.893,antonio-giovinazzi,15,pirelli,54,99
1:08.601,williams,mercedes,+0.089,+2.982,george-russell,16,pirelli,36,63
1:08.806,williams,mercedes,+0.205,+3.187,nicholas-latifi,17,pirelli,68,6
1:09.321,renault,renault,+0.515,+3.702,esteban-ocon,18,pirelli,22,31
1:35.379,ferrari,ferrari,+26.058,+29.760,charles-leclerc,19,pirelli,3,16
