time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:04.867,racing-point,bwt-mercedes,,,32,sergio-perez,1,pirelli,11
1:04.963,red-bull,honda,+0.096,+0.096,31,max-verstappen,2,pirelli,33
1:05.089,mercedes,mercedes,+0.126,+0.222,31,valtteri-bottas,3,pirelli,77
1:05.120,mercedes,mercedes,+0.031,+0.253,29,lewis-hamilton,4,pirelli,44
1:05.396,racing-point,bwt-mercedes,+0.276,+0.529,36,lance-stroll,5,pirelli,18
1:05.483,red-bull,honda,+0.087,+0.616,28,alexander-albon,6,pirelli,23
1:05.602,mclaren,renault,+0.119,+0.735,40,carlos-sainz-jr,7,pirelli,55
1:05.698,alphatauri,honda,+0.096,+0.831,27,pierre-gasly,8,pirelli,10
1:05.769,renault,renault,+0.071,+0.902,31,daniel-ricciardo,9,pirelli,3
1:05.770,ferrari,ferrari,+0.001,+0.903,25,sebastian-vettel,10,pirelli,5
1:05.815,alphatauri,honda,+0.045,+0.948,28,daniil-kvyat,11,pirelli,26
1:05.837,ferrari,ferrari,+0.022,+0.970,28,charles-leclerc,12,pirelli,16
1:05.874,renault,renault,+0.037,+1.007,35,esteban-ocon,13,pirelli,31
1:05.908,mclaren,renault,+0.034,+1.041,25,lando-norris,14,pirelli,4
1:06.441,alfa-romeo,ferrari,+0.533,+1.574,23,kimi-raikkonen,15,pirelli,7
1:06.446,haas,ferrari,+0.005,+1.579,31,romain-grosjean,16,pirelli,8
1:06.768,williams,mercedes,+0.322,+1.901,35,jack-aitken,17,pirelli,40
1:06.797,alfa-romeo,ferrari,+0.029,+1.930,31,robert-kubica,18,pirelli,88
1:09.598,williams,mercedes,+2.801,+4.731,6,nicholas-latifi,19,pirelli,6
,haas,ferrari,,,3,kevin-magnussen,20,pirelli,20
