q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:18.188,mercedes,1:17.825,mercedes,,,1:19.273,lewis-hamilton,34,1,pirelli,44
1:18.297,red-bull,1:17.938,honda,+1.216,+1.216,1:20.489,max-verstappen,34,2,pirelli,33
1:18.590,mclaren,1:18.836,renault,+0.182,+1.398,1:20.671,carlos-sainz-jr,33,3,pirelli,55
1:18.791,mercedes,1:18.657,mercedes,+0.030,+1.428,1:20.701,valtteri-bottas,34,4,pirelli,77
1:19.687,renault,1:18.764,renault,+0.221,+1.649,1:20.922,esteban-ocon,33,5,pirelli,31
1:18.504,mclaren,1:18.448,renault,+0.003,+1.652,1:20.925,lando-norris,34,6,pirelli,4
1:20.882,red-bull,1:19.014,honda,+0.086,+1.738,1:21.011,alexander-albon,31,7,pirelli,23
1:20.192,alphatauri,1:18.744,honda,+0.017,+1.755,1:21.028,pierre-gasly,33,8,pirelli,10
1:19.662,renault,1:19.229,renault,+0.164,+1.919,1:21.192,daniel-ricciardo,32,9,pirelli,3
1:20.243,ferrari,1:19.545,ferrari,+0.459,+2.378,1:21.651,sebastian-vettel,33,10,pirelli,5
1:20.871,ferrari,1:19.628,ferrari,,,,charles-leclerc,24,11,pirelli,16
1:20.382,williams,1:19.636,mercedes,,,,george-russell,22,12,pirelli,63
1:19.697,racing-point,1:19.645,bwt-mercedes,,,,lance-stroll,23,13,pirelli,18
1:19.824,alphatauri,1:19.717,honda,,,,daniil-kvyat,24,14,pirelli,26
1:21.140,haas,1:20.211,ferrari,,,,kevin-magnussen,22,15,pirelli,20
1:21.372,alfa-romeo,,ferrari,,,,kimi-raikkonen,12,16,pirelli,7
1:21.607,racing-point,,bwt-mercedes,,,,sergio-perez,12,17,pirelli,11
1:21.759,williams,,mercedes,,,,nicholas-latifi,12,18,pirelli,6
1:21.831,alfa-romeo,,ferrari,,,,antonio-giovinazzi,12,19,pirelli,99
,haas,,ferrari,,,,romain-grosjean,1,20,pirelli,8
