time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
1:22:50.683,mercedes,1,mercedes,,,71,,lewis-hamilton,,1,25,pirelli,44
1:23:04.402,mercedes,4,mercedes,,+13.719,71,+13.719,valtteri-bottas,,2,18,pirelli,77
1:23:24.381,red-bull,2,honda,,+19.979,71,+33.698,max-verstappen,,3,15,pirelli,33
1:23:35.083,red-bull,6,honda,,+10.702,71,+44.400,alexander-albon,,4,12,pirelli,23
1:23:52.153,mclaren,9,renault,,+17.070,71,+1:01.470,lando-norris,,5,10,pirelli,4
1:23:53.070,racing-point,17,bwt-mercedes,,+0.917,71,+1:02.387,sergio-perez,,6,8,pirelli,11
1:23:53.136,racing-point,13,bwt-mercedes,,+0.066,71,+1:02.453,lance-stroll,,7,6,pirelli,18
1:23:53.274,renault,8,renault,,+0.138,71,+1:02.591,daniel-ricciardo,,8,4,pirelli,3
,mclaren,3,renault,,,70,+1 lap,carlos-sainz-jr,,9,3,pirelli,55
,alphatauri,14,honda,,,70,+1 lap,daniil-kvyat,,10,1,pirelli,26
,alfa-romeo,16,ferrari,,,70,+1 lap,kimi-raikkonen,,11,,pirelli,7
,haas,15,ferrari,,,70,+1 lap,kevin-magnussen,,12,,pirelli,20
,haas,PL,ferrari,,,70,+1 lap,romain-grosjean,,13,,pirelli,8
,alfa-romeo,19,ferrari,,,70,+1 lap,antonio-giovinazzi,,14,,pirelli,99
,alphatauri,7,honda,,,70,+1 lap,pierre-gasly,,15,,pirelli,10
,williams,12,mercedes,,,69,+2 laps,george-russell,,16,,pirelli,63
,williams,18,mercedes,,,69,+2 laps,nicholas-latifi,,17,,pirelli,6
,renault,5,renault,,,25,,esteban-ocon,Overheating,DNF,,pirelli,31
,ferrari,11,ferrari,,,4,,charles-leclerc,Collision damage,DNF,,pirelli,16
,ferrari,10,ferrari,,,1,,sebastian-vettel,Collision damage,DNF,,pirelli,5
