time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:16.003,mercedes,mercedes,,,37,lewis-hamilton,1,pirelli,44
1:16.089,mercedes,mercedes,+0.086,+0.086,37,valtteri-bottas,2,pirelli,77
1:16.530,racing-point,bwt-mercedes,+0.441,+0.527,20,sergio-perez,3,pirelli,11
1:16.967,racing-point,bwt-mercedes,+0.437,+0.964,35,lance-stroll,4,pirelli,18
1:17.200,renault,renault,+0.233,+1.197,28,daniel-ricciardo,5,pirelli,3
1:17.238,ferrari,ferrari,+0.038,+1.235,26,sebastian-vettel,6,pirelli,5
1:17.404,ferrari,ferrari,+0.166,+1.401,29,charles-leclerc,7,pirelli,16
1:17.435,red-bull,honda,+0.031,+1.432,28,max-verstappen,8,pirelli,33
1:17.523,mclaren,renault,+0.088,+1.520,26,lando-norris,9,pirelli,4
1:17.615,renault,renault,+0.092,+1.612,35,esteban-ocon,10,pirelli,31
1:17.675,mclaren,renault,+0.060,+1.672,32,carlos-sainz-jr,11,pirelli,55
1:17.713,haas,ferrari,+0.038,+1.710,35,kevin-magnussen,12,pirelli,20
1:17.727,red-bull,honda,+0.014,+1.724,28,alexander-albon,13,pirelli,23
1:17.890,haas,ferrari,+0.163,+1.887,35,romain-grosjean,14,pirelli,8
1:17.969,williams,mercedes,+0.079,+1.966,31,nicholas-latifi,15,pirelli,6
1:18.292,alphatauri,honda,+0.323,+2.289,35,daniil-kvyat,16,pirelli,26
1:18.425,alfa-romeo,ferrari,+0.133,+2.422,30,antonio-giovinazzi,17,pirelli,99
1:18.574,williams,mercedes,+0.149,+2.571,29,george-russell,18,pirelli,63
1:19.150,alfa-romeo,ferrari,+0.576,+3.147,26,robert-kubica,19,pirelli,88
