time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:13.447,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:13.554,mercedes,mercedes,,valtteri-bottas,2,pirelli,77
1:14.377,racing-point,bwt-mercedes,,lance-stroll,3,pirelli,18
1:14.545,racing-point,bwt-mercedes,,sergio-perez,4,pirelli,11
1:14.774,ferrari,ferrari,,sebastian-vettel,5,pirelli,5
1:14.817,ferrari,ferrari,,charles-leclerc,6,pirelli,16
1:14.849,red-bull,honda,,max-verstappen,7,pirelli,33
1:14.966,mclaren,renault,,lando-norris,8,pirelli,4
1:15.027,mclaren,renault,,carlos-sainz-jr,9,pirelli,55
,alphatauri,honda,,pierre-gasly,10,pirelli,10
1:15.661,renault,renault,,daniel-ricciardo,11,pirelli,3
1:15.698,williams,mercedes,,george-russell,12,pirelli,63
1:15.715,red-bull,honda,,alexander-albon,13,pirelli,23
1:15.742,renault,renault,,esteban-ocon,14,pirelli,31
1:16.544,williams,mercedes,,nicholas-latifi,15,pirelli,6
1:16.152,haas,ferrari,,kevin-magnussen,16,pirelli,20
1:16.204,alphatauri,honda,,daniil-kvyat,17,pirelli,26
1:16.407,haas,ferrari,,romain-grosjean,18,pirelli,8
1:16.506,alfa-romeo,ferrari,,antonio-giovinazzi,19,pirelli,99
1:16.614,alfa-romeo,ferrari,,kimi-raikkonen,20,pirelli,7
