time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:28.451,mercedes,mercedes,,,lewis-hamilton,1,pirelli,43,44
1:29.465,red-bull,honda,+1.014,+1.014,max-verstappen,2,pirelli,46,33
1:29.477,red-bull,honda,+0.012,+1.026,alexander-albon,3,pirelli,46,23
1:29.765,mercedes,mercedes,+0.288,+1.314,valtteri-bottas,4,pirelli,44,77
1:29.950,williams,mercedes,+0.185,+1.499,nicholas-latifi,5,pirelli,48,6
1:30.087,racing-point,bwt-mercedes,+0.137,+1.636,nico-hulkenberg,6,pirelli,52,27
1:30.092,alphatauri,honda,+0.005,+1.641,pierre-gasly,7,pirelli,52,10
1:30.552,ferrari,ferrari,+0.460,+2.101,charles-leclerc,8,pirelli,39,16
1:30.556,mclaren,renault,+0.004,+2.105,carlos-sainz-jr,9,pirelli,49,55
1:30.575,renault,renault,+0.019,+2.124,esteban-ocon,10,pirelli,50,31
1:30.698,mclaren,renault,+0.123,+2.247,lando-norris,11,pirelli,49,4
1:30.738,alphatauri,honda,+0.040,+2.287,daniil-kvyat,12,pirelli,52,26
1:30.785,ferrari,ferrari,+0.047,+2.334,sebastian-vettel,13,pirelli,49,5
1:30.793,haas,ferrari,+0.008,+2.342,romain-grosjean,14,pirelli,51,8
1:30.877,racing-point,bwt-mercedes,+0.084,+2.426,lance-stroll,15,pirelli,45,18
1:31.168,renault,renault,+0.291,+2.717,daniel-ricciardo,16,pirelli,39,3
1:31.408,williams,mercedes,+0.240,+2.957,george-russell,17,pirelli,50,63
1:31.756,alfa-romeo,ferrari,+0.348,+3.305,kimi-raikkonen,18,pirelli,30,7
1:31.826,alfa-romeo,ferrari,+0.070,+3.375,antonio-giovinazzi,19,pirelli,37,99
1:31.830,haas,ferrari,+0.004,+3.379,kevin-magnussen,20,pirelli,39,20
