time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:25.606,mercedes,mercedes,,,22,lewis-hamilton,1,pirelli,44
1:25.782,mercedes,mercedes,+0.176,+0.176,22,valtteri-bottas,2,pirelli,77
1:26.421,renault,renault,+0.639,+0.815,29,daniel-ricciardo,3,pirelli,3
1:26.437,red-bull,honda,+0.016,+0.831,15,max-verstappen,4,pirelli,33
1:26.501,racing-point,bwt-mercedes,+0.064,+0.895,24,lance-stroll,5,pirelli,18
1:26.746,racing-point,bwt-mercedes,+0.245,+1.140,26,nico-hulkenberg,6,pirelli,27
1:26.812,ferrari,ferrari,+0.066,+1.206,32,charles-leclerc,7,pirelli,16
1:26.867,mclaren,renault,+0.055,+1.261,26,lando-norris,8,pirelli,4
1:26.918,mclaren,renault,+0.051,+1.312,24,carlos-sainz-jr,9,pirelli,55
1:26.928,renault,renault,+0.010,+1.322,25,esteban-ocon,10,pirelli,31
1:26.960,red-bull,honda,+0.032,+1.354,25,alexander-albon,11,pirelli,23
1:27.002,alphatauri,honda,+0.042,+1.396,33,daniil-kvyat,12,pirelli,26
1:27.128,alphatauri,honda,+0.126,+1.522,31,pierre-gasly,13,pirelli,10
1:27.198,ferrari,ferrari,+0.070,+1.592,30,sebastian-vettel,14,pirelli,5
1:27.294,haas,ferrari,+0.096,+1.688,28,romain-grosjean,15,pirelli,8
1:27.320,williams,mercedes,+0.026,+1.714,31,george-russell,16,pirelli,63
1:27.535,alfa-romeo,ferrari,+0.215,+1.929,30,kimi-raikkonen,17,pirelli,7
1:27.582,haas,ferrari,+0.047,+1.976,28,kevin-magnussen,18,pirelli,20
1:27.683,williams,mercedes,+0.101,+2.077,32,nicholas-latifi,19,pirelli,6
1:27.955,alfa-romeo,ferrari,+0.272,+2.349,26,antonio-giovinazzi,20,pirelli,99
