time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
28.417,red-bull,honda,1,alexander-albon,1,pirelli,6,23
28.356,alphatauri,honda,1,pierre-gasly,2,pirelli,7,10
27.892,alfa-romeo,ferrari,1,antonio-giovinazzi,3,pirelli,7,99
28.391,williams,mercedes,1,george-russell,4,pirelli,8,63
28.934,haas,ferrari,1,kevin-magnussen,5,pirelli,9,20
28.696,williams,mercedes,1,nicholas-latifi,6,pirelli,9,6
27.949,mclaren,renault,1,lando-norris,7,pirelli,12,4
28.408,mercedes,mercedes,1,valtteri-bottas,8,pirelli,13,77
28.406,mercedes,mercedes,1,lewis-hamilton,9,pirelli,14,44
28.587,renault,renault,1,daniel-ricciardo,10,pirelli,14,3
28.981,racing-point,bwt-mercedes,1,nico-hulkenberg,11,pirelli,15,27
29.377,haas,ferrari,1,romain-grosjean,12,pirelli,17,8
28.235,racing-point,bwt-mercedes,1,lance-stroll,13,pirelli,18,18
29.419,ferrari,ferrari,1,charles-leclerc,14,pirelli,18,16
28.036,alphatauri,honda,1,daniil-kvyat,15,pirelli,19,26
29.389,haas,ferrari,2,kevin-magnussen,16,pirelli,20,20
35.864,mclaren,renault,1,carlos-sainz-jr,17,pirelli,22,55
28.093,renault,renault,1,esteban-ocon,18,pirelli,22,31
28.167,ferrari,ferrari,1,sebastian-vettel,19,pirelli,22,5
28.306,alphatauri,honda,2,pierre-gasly,20,pirelli,23,10
28.331,williams,mercedes,2,george-russell,21,pirelli,24,63
29.115,red-bull,honda,1,max-verstappen,22,pirelli,26,33
28.167,renault,renault,2,daniel-ricciardo,23,pirelli,26,3
29.296,alfa-romeo,ferrari,1,kimi-raikkonen,24,pirelli,26,7
28.086,williams,mercedes,2,nicholas-latifi,25,pirelli,26,6
28.874,mclaren,renault,2,lando-norris,26,pirelli,29,4
28.386,racing-point,bwt-mercedes,2,nico-hulkenberg,27,pirelli,30,27
27.858,red-bull,honda,2,alexander-albon,28,pirelli,30,23
27.974,racing-point,bwt-mercedes,2,lance-stroll,29,pirelli,31,18
28.986,red-bull,honda,2,max-verstappen,30,pirelli,32,33
28.188,mercedes,mercedes,2,valtteri-bottas,31,pirelli,32,77
28.352,ferrari,ferrari,2,sebastian-vettel,32,pirelli,33,5
27.693,alfa-romeo,ferrari,2,antonio-giovinazzi,33,pirelli,33,99
28.772,mclaren,renault,2,carlos-sainz-jr,34,pirelli,34,55
28.365,alphatauri,honda,2,daniil-kvyat,35,pirelli,35,26
28.057,renault,renault,3,daniel-ricciardo,36,pirelli,35,3
29.803,haas,ferrari,2,romain-grosjean,37,pirelli,38,8
28.692,williams,mercedes,3,george-russell,38,pirelli,39,63
29.402,mercedes,mercedes,2,lewis-hamilton,39,pirelli,41,44
28.736,racing-point,bwt-mercedes,3,nico-hulkenberg,40,pirelli,44,27
29.049,williams,mercedes,3,nicholas-latifi,41,pirelli,46,6
