q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:26.738,mercedes,1:25.785,mercedes,,,1:25.154,valtteri-bottas,20,1,pirelli,77
1:26.818,mercedes,1:26.266,mercedes,+0.063,+0.063,1:25.217,lewis-hamilton,20,2,pirelli,44
1:27.279,racing-point,1:26.261,bwt-mercedes,+0.865,+0.928,1:26.082,nico-hulkenberg,18,3,pirelli,27
1:27.154,red-bull,1:26.779,honda,+0.094,+1.022,1:26.176,max-verstappen,12,4,pirelli,33
1:27.442,renault,1:26.636,renault,+0.121,+1.143,1:26.297,daniel-ricciardo,14,5,pirelli,3
1:27.187,racing-point,1:26.674,bwt-mercedes,+0.131,+1.274,1:26.428,lance-stroll,18,6,pirelli,18
1:27.154,alphatauri,1:26.523,honda,+0.106,+1.380,1:26.534,pierre-gasly,18,7,pirelli,10
1:27.427,ferrari,1:26.709,ferrari,+0.080,+1.460,1:26.614,charles-leclerc,16,8,pirelli,16
1:27.153,red-bull,1:26.642,honda,+0.055,+1.515,1:26.669,alexander-albon,18,9,pirelli,23
1:27.217,mclaren,1:26.885,renault,+0.109,+1.624,1:26.778,lando-norris,18,10,pirelli,4
1:27.278,renault,1:27.011,renault,,,,esteban-ocon,12,11,pirelli,31
1:27.612,ferrari,1:27.078,ferrari,,,,sebastian-vettel,14,12,pirelli,5
1:27.450,mclaren,1:27.083,renault,,,,carlos-sainz-jr,12,13,pirelli,55
1:27.519,haas,1:27.254,ferrari,,,,romain-grosjean,16,14,pirelli,8
1:27.757,williams,1:27.455,mercedes,,,,george-russell,11,15,pirelli,63
1:27.882,alphatauri,,honda,,,,daniil-kvyat,6,16,pirelli,26
1:28.236,haas,,ferrari,,,,kevin-magnussen,9,17,pirelli,20
1:28.430,williams,,mercedes,,,,nicholas-latifi,6,18,pirelli,6
1:28.433,alfa-romeo,,ferrari,,,,antonio-giovinazzi,6,19,pirelli,99
1:28.493,alfa-romeo,,ferrari,,,,kimi-raikkonen,6,20,pirelli,7
