time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:25.154,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
1:25.217,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:26.082,racing-point,bwt-mercedes,,nico-hulkenberg,3,pirelli,27
1:26.176,red-bull,honda,,max-verstappen,4,pirelli,33
1:26.297,renault,renault,,daniel-ricciardo,5,pirelli,3
1:26.428,racing-point,bwt-mercedes,,lance-stroll,6,pirelli,18
1:26.534,alphatauri,honda,,pierre-gasly,7,pirelli,10
1:26.614,ferrari,ferrari,,charles-leclerc,8,pirelli,16
1:26.669,red-bull,honda,,alexander-albon,9,pirelli,23
1:26.778,mclaren,renault,,lando-norris,10,pirelli,4
1:27.078,ferrari,ferrari,,sebastian-vettel,11,pirelli,5
1:27.083,mclaren,renault,,carlos-sainz-jr,12,pirelli,55
1:27.254,haas,ferrari,,romain-grosjean,13,pirelli,8
1:27.011,renault,renault,3,esteban-ocon,14,pirelli,31
1:27.455,williams,mercedes,,george-russell,15,pirelli,63
1:27.882,alphatauri,honda,,daniil-kvyat,16,pirelli,26
1:28.236,haas,ferrari,,kevin-magnussen,17,pirelli,20
1:28.430,williams,mercedes,,nicholas-latifi,18,pirelli,6
1:28.433,alfa-romeo,ferrari,,antonio-giovinazzi,19,pirelli,99
1:28.493,alfa-romeo,ferrari,,kimi-raikkonen,20,pirelli,7
