time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:43.255,mercedes,mercedes,,,9,lewis-hamilton,1,pirelli,44
1:43.485,renault,renault,+0.230,+0.230,9,esteban-ocon,2,pirelli,31
1:43.641,mclaren,renault,+0.156,+0.386,12,lando-norris,3,pirelli,4
1:43.731,red-bull,honda,+0.090,+0.476,13,alexander-albon,4,pirelli,23
1:43.813,mercedes,mercedes,+0.082,+0.558,9,valtteri-bottas,5,pirelli,77
1:43.896,red-bull,honda,+0.083,+0.641,10,max-verstappen,6,pirelli,33
1:43.973,renault,renault,+0.077,+0.718,8,daniel-ricciardo,7,pirelli,3
1:43.988,racing-point,bwt-mercedes,+0.015,+0.733,12,lance-stroll,8,pirelli,18
1:44.006,mclaren,renault,+0.018,+0.751,13,carlos-sainz-jr,9,pirelli,55
1:44.180,racing-point,bwt-mercedes,+0.174,+0.925,12,sergio-perez,10,pirelli,11
1:44.508,alphatauri,honda,+0.328,+1.253,14,pierre-gasly,11,pirelli,10
1:44.543,alphatauri,honda,+0.035,+1.288,14,daniil-kvyat,12,pirelli,26
1:44.771,williams,mercedes,+0.228,+1.516,11,nicholas-latifi,13,pirelli,6
1:44.841,haas,ferrari,+0.070,+1.586,10,kevin-magnussen,14,pirelli,20
1:44.844,haas,ferrari,+0.003,+1.589,16,romain-grosjean,15,pirelli,8
1:44.932,alfa-romeo,ferrari,+0.088,+1.677,11,kimi-raikkonen,16,pirelli,7
1:45.147,ferrari,ferrari,+0.215,+1.892,12,charles-leclerc,17,pirelli,16
1:45.157,williams,mercedes,+0.010,+1.902,11,george-russell,18,pirelli,63
1:45.190,alfa-romeo,ferrari,+0.033,+1.935,13,antonio-giovinazzi,19,pirelli,99
1:45.420,ferrari,ferrari,+0.230,+2.165,12,sebastian-vettel,20,pirelli,5
