time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
40.078,haas,ferrari,1,kevin-magnussen,1,pirelli,1,20
26.335,williams,mercedes,1,nicholas-latifi,2,pirelli,16,6
24.344,ferrari,ferrari,1,charles-leclerc,3,pirelli,17,16
24.454,alfa-romeo,ferrari,1,kimi-raikkonen,4,pirelli,18,7
24.096,alphatauri,honda,1,pierre-gasly,5,pirelli,19,10
24.671,mercedes,mercedes,1,lewis-hamilton,6,pirelli,20,44
23.998,alfa-romeo,ferrari,1,antonio-giovinazzi,7,pirelli,20,99
24.398,mclaren,renault,1,carlos-sainz-jr,8,pirelli,22,55
24.612,mclaren,renault,1,lando-norris,9,pirelli,22,4
25.498,renault,renault,1,daniel-ricciardo,10,pirelli,22,3
26.693,racing-point,bwt-mercedes,1,sergio-perez,11,pirelli,22,11
24.410,mercedes,mercedes,1,valtteri-bottas,12,pirelli,22,77
26.149,red-bull,honda,1,max-verstappen,13,pirelli,22,33
25.290,renault,renault,1,esteban-ocon,14,pirelli,22,31
25.920,alphatauri,honda,1,daniil-kvyat,15,pirelli,22,26
29.661,red-bull,honda,1,alexander-albon,16,pirelli,22,23
25.936,haas,ferrari,1,romain-grosjean,17,pirelli,22,8
25.249,williams,mercedes,1,george-russell,18,pirelli,22,63
25:16.864,mercedes,mercedes,2,lewis-hamilton,19,pirelli,26,44
25:17.308,racing-point,bwt-mercedes,1,lance-stroll,20,pirelli,26,18
25:19.879,alphatauri,honda,2,pierre-gasly,21,pirelli,26,10
25:20.985,alfa-romeo,ferrari,2,kimi-raikkonen,22,pirelli,26,7
25:21.825,alfa-romeo,ferrari,2,antonio-giovinazzi,23,pirelli,26,99
25:22.369,mclaren,renault,2,carlos-sainz-jr,24,pirelli,26,55
25:22.009,mclaren,renault,2,lando-norris,25,pirelli,26,4
25:22.264,mercedes,mercedes,2,valtteri-bottas,26,pirelli,26,77
25:23.130,williams,mercedes,2,nicholas-latifi,27,pirelli,26,6
25:23.637,renault,renault,2,daniel-ricciardo,28,pirelli,26,3
25:22.796,red-bull,honda,2,max-verstappen,29,pirelli,26,33
25:23.223,renault,renault,2,esteban-ocon,30,pirelli,26,31
25:24.139,alphatauri,honda,2,daniil-kvyat,31,pirelli,26,26
25:24.989,racing-point,bwt-mercedes,2,sergio-perez,32,pirelli,26,11
25:27.938,williams,mercedes,2,george-russell,33,pirelli,26,63
25:28.247,red-bull,honda,2,alexander-albon,34,pirelli,26,23
25:30.188,haas,ferrari,2,romain-grosjean,35,pirelli,26,8
31.643,mercedes,mercedes,3,lewis-hamilton,36,pirelli,28,44
31.480,alfa-romeo,ferrari,3,antonio-giovinazzi,37,pirelli,30,99
