time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:18.833,mercedes,mercedes,,,lewis-hamilton,1,pirelli,58,44
1:19.432,mercedes,mercedes,+0.599,+0.599,valtteri-bottas,2,pirelli,53,77
1:20.039,red-bull,honda,+0.607,+1.206,alexander-albon,3,pirelli,51,23
1:20.426,renault,renault,+0.387,+1.593,daniel-ricciardo,4,pirelli,57,3
1:20.632,racing-point,bwt-mercedes,+0.206,+1.799,sergio-perez,5,pirelli,59,11
1:21.164,alfa-romeo,ferrari,+0.532,+2.331,kimi-raikkonen,6,pirelli,59,7
1:21.198,mclaren,renault,+0.034,+2.365,lando-norris,7,pirelli,59,4
1:21.202,ferrari,ferrari,+0.004,+2.369,sebastian-vettel,8,pirelli,59,5
1:21.229,ferrari,ferrari,+0.027,+2.396,charles-leclerc,9,pirelli,50,16
1:21.458,alphatauri,honda,+0.229,+2.625,daniil-kvyat,10,pirelli,51,26
1:21.645,williams,mercedes,+0.187,+2.812,george-russell,11,pirelli,58,63
1:22.068,racing-point,bwt-mercedes,+0.423,+3.235,lance-stroll,12,pirelli,42,18
1:22.263,haas,ferrari,+0.195,+3.430,romain-grosjean,13,pirelli,59,8
2:11.365,williams,mercedes,+49.102,+52.532,nicholas-latifi,14,pirelli,6,6
2:11.793,renault,renault,+0.428,+52.960,esteban-ocon,15,pirelli,6,31
2:13.809,alfa-romeo,ferrari,+2.016,+54.976,antonio-giovinazzi,16,pirelli,4,99
2:13.812,haas,ferrari,+0.003,+54.979,kevin-magnussen,17,pirelli,4,20
2:14.103,mclaren,renault,+0.291,+55.270,carlos-sainz-jr,18,pirelli,5,55
