time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:17.879,mercedes,mercedes,,,33,valtteri-bottas,1,pirelli,77
1:17.927,red-bull,honda,+0.048,+0.048,32,max-verstappen,2,pirelli,33
1:18.186,ferrari,ferrari,+0.259,+0.307,27,charles-leclerc,3,pirelli,16
1:18.409,mercedes,mercedes,+0.223,+0.530,28,lewis-hamilton,4,pirelli,44
1:18.676,alphatauri,honda,+0.267,+0.797,30,pierre-gasly,5,pirelli,10
1:18.805,renault,renault,+0.129,+0.926,28,esteban-ocon,6,pirelli,31
1:18.839,alphatauri,honda,+0.034,+0.960,31,daniil-kvyat,7,pirelli,26
1:18.981,mclaren,renault,+0.142,+1.102,30,lando-norris,8,pirelli,4
1:19.068,red-bull,honda,+0.087,+1.189,34,alexander-albon,9,pirelli,23
1:19.140,renault,renault,+0.072,+1.261,25,daniel-ricciardo,10,pirelli,3
1:19.219,alfa-romeo,ferrari,+0.079,+1.340,21,kimi-raikkonen,11,pirelli,7
1:19.224,haas,ferrari,+0.005,+1.345,25,romain-grosjean,12,pirelli,8
1:19.267,ferrari,ferrari,+0.043,+1.388,27,sebastian-vettel,13,pirelli,5
1:19.322,alfa-romeo,ferrari,+0.055,+1.443,28,antonio-giovinazzi,14,pirelli,99
1:19.457,mclaren,renault,+0.135,+1.578,33,carlos-sainz-jr,15,pirelli,55
1:19.478,williams,mercedes,+0.021,+1.599,29,george-russell,16,pirelli,63
1:19.551,haas,ferrari,+0.073,+1.672,25,kevin-magnussen,17,pirelli,20
1:19.836,racing-point,bwt-mercedes,+0.285,+1.957,23,lance-stroll,18,pirelli,18
1:19.840,racing-point,bwt-mercedes,+0.004,+1.961,29,sergio-perez,19,pirelli,11
1:20.034,williams,mercedes,+0.194,+2.155,32,nicholas-latifi,20,pirelli,6
