q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:15.778,mercedes,1:15.309,mercedes,,,1:15.144,lewis-hamilton,14,1,pirelli,44
1:15.749,mercedes,1:15.322,mercedes,+0.059,+0.059,1:15.203,valtteri-bottas,11,2,pirelli,77
1:16.335,red-bull,1:15.471,honda,+0.306,+0.365,1:15.509,max-verstappen,12,3,pirelli,33
1:16.527,red-bull,1:15.914,honda,+0.445,+0.810,1:15.954,alexander-albon,14,4,pirelli,23
1:16.698,ferrari,1:16.324,ferrari,+0.316,+1.126,1:16.270,charles-leclerc,18,5,pirelli,16
1:16.596,racing-point,1:16.489,bwt-mercedes,+0.041,+1.167,1:16.311,sergio-perez,16,6,pirelli,11
1:16.701,racing-point,1:16.271,bwt-mercedes,+0.045,+1.212,1:16.356,lance-stroll,14,7,pirelli,18
1:16.981,renault,1:16.243,renault,+0.187,+1.399,1:16.543,daniel-ricciardo,14,8,pirelli,3
1:16.993,mclaren,1:16.522,renault,+1.327,+2.726,1:17.870,carlos-sainz-jr,17,9,pirelli,55
1:16.825,renault,1:16.297,renault,,,,esteban-ocon,14,10,pirelli,31
1:16.895,mclaren,1:16.640,renault,,,,lando-norris,12,11,pirelli,4
1:16.928,alphatauri,1:16.854,honda,,,,daniil-kvyat,11,12,pirelli,26
1:17.059,alfa-romeo,1:16.854,ferrari,,,,kimi-raikkonen,12,13,pirelli,7
1:17.072,ferrari,1:16.858,ferrari,,,,sebastian-vettel,12,14,pirelli,5
1:17.069,haas,1:17.254,ferrari,,,,romain-grosjean,12,15,pirelli,8
1:17.125,alphatauri,,honda,,,,pierre-gasly,6,16,pirelli,10
1:17.220,alfa-romeo,,ferrari,,,,antonio-giovinazzi,6,17,pirelli,99
1:17.232,williams,,mercedes,,,,george-russell,9,18,pirelli,63
1:17.320,williams,,mercedes,,,,nicholas-latifi,9,19,pirelli,6
1:17.348,haas,,ferrari,,,,kevin-magnussen,6,20,pirelli,20
