time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:15.144,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:15.203,mercedes,mercedes,,valtteri-bottas,2,pirelli,77
1:15.509,red-bull,honda,,max-verstappen,3,pirelli,33
1:15.954,red-bull,honda,,alexander-albon,4,pirelli,23
1:16.270,ferrari,ferrari,,charles-leclerc,5,pirelli,16
1:16.356,racing-point,bwt-mercedes,,lance-stroll,6,pirelli,18
1:16.311,racing-point,bwt-mercedes,1,sergio-perez,7,pirelli,11
1:16.543,renault,renault,,daniel-ricciardo,8,pirelli,3
1:17.870,mclaren,renault,,carlos-sainz-jr,9,pirelli,55
,renault,renault,,esteban-ocon,10,pirelli,31
1:16.640,mclaren,renault,,lando-norris,11,pirelli,4
1:16.854,alphatauri,honda,,daniil-kvyat,12,pirelli,26
1:16.854,alfa-romeo,ferrari,,kimi-raikkonen,13,pirelli,7
1:16.858,ferrari,ferrari,,sebastian-vettel,14,pirelli,5
1:17.254,haas,ferrari,,romain-grosjean,15,pirelli,8
1:17.125,alphatauri,honda,,pierre-gasly,16,pirelli,10
1:17.220,alfa-romeo,ferrari,,antonio-giovinazzi,17,pirelli,99
1:17.232,williams,mercedes,,george-russell,18,pirelli,63
1:17.320,williams,mercedes,,nicholas-latifi,19,pirelli,6
1:17.348,haas,ferrari,,kevin-magnussen,20,pirelli,20
