time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:34.923,mercedes,mercedes,,,13,valtteri-bottas,1,pirelli,77
1:35.430,renault,renault,+0.507,+0.507,22,daniel-ricciardo,2,pirelli,3
1:35.577,red-bull,honda,+0.147,+0.654,22,max-verstappen,3,pirelli,33
1:35.796,racing-point,bwt-mercedes,+0.219,+0.873,23,sergio-perez,4,pirelli,11
1:35.965,racing-point,bwt-mercedes,+0.169,+1.042,21,lance-stroll,5,pirelli,18
1:36.061,renault,renault,+0.096,+1.138,23,esteban-ocon,6,pirelli,31
1:36.230,alphatauri,honda,+0.169,+1.307,22,daniil-kvyat,7,pirelli,26
1:36.254,red-bull,honda,+0.024,+1.331,24,alexander-albon,8,pirelli,23
1:36.323,ferrari,ferrari,+0.069,+1.400,23,sebastian-vettel,9,pirelli,5
1:36.706,alphatauri,honda,+0.383,+1.783,25,pierre-gasly,10,pirelli,10
1:36.896,ferrari,ferrari,+0.190,+1.973,23,charles-leclerc,11,pirelli,16
1:36.970,mclaren,renault,+0.074,+2.047,8,carlos-sainz-jr,12,pirelli,55
1:37.110,mclaren,renault,+0.140,+2.187,28,lando-norris,13,pirelli,4
1:37.201,alfa-romeo,ferrari,+0.091,+2.278,17,antonio-giovinazzi,14,pirelli,99
1:37.230,alfa-romeo,ferrari,+0.029,+2.307,23,kimi-raikkonen,15,pirelli,7
1:37.430,haas,ferrari,+0.200,+2.507,22,kevin-magnussen,16,pirelli,20
1:37.595,williams,mercedes,+0.165,+2.672,24,george-russell,17,pirelli,63
1:37.649,haas,ferrari,+0.054,+2.726,24,romain-grosjean,18,pirelli,8
1:37.716,mercedes,mercedes,+0.067,+2.793,18,lewis-hamilton,19,pirelli,44
1:37.784,williams,mercedes,+0.068,+2.861,11,nicholas-latifi,20,pirelli,6
