time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
30.165,williams,mercedes,1,george-russell,1,pirelli,1,63
30.211,red-bull,honda,1,alexander-albon,2,pirelli,1,23
37.108,mclaren,renault,1,lando-norris,3,pirelli,1,4
29.433,williams,mercedes,2,george-russell,4,pirelli,14,63
30.112,renault,renault,1,daniel-ricciardo,5,pirelli,15,3
41.352,mercedes,mercedes,1,lewis-hamilton,6,pirelli,16,44
29.767,alfa-romeo,ferrari,1,antonio-giovinazzi,7,pirelli,16,99
30.054,haas,ferrari,1,romain-grosjean,8,pirelli,17,8
29.862,williams,mercedes,1,nicholas-latifi,9,pirelli,17,6
30.068,renault,renault,1,esteban-ocon,10,pirelli,18,31
29.770,alphatauri,honda,1,pierre-gasly,11,pirelli,18,10
30.188,haas,ferrari,1,kevin-magnussen,12,pirelli,19,20
29.602,racing-point,bwt-mercedes,1,sergio-perez,13,pirelli,20,11
28.748,red-bull,honda,1,max-verstappen,14,pirelli,25,33
29.750,mercedes,mercedes,1,valtteri-bottas,15,pirelli,26,77
30.111,red-bull,honda,2,alexander-albon,16,pirelli,27,23
30.261,ferrari,ferrari,1,charles-leclerc,17,pirelli,28,16
29.662,alphatauri,honda,1,daniil-kvyat,18,pirelli,30,26
29.395,ferrari,ferrari,1,sebastian-vettel,19,pirelli,30,5
33.317,alfa-romeo,ferrari,1,kimi-raikkonen,20,pirelli,35,7
29.409,alphatauri,honda,2,pierre-gasly,21,pirelli,42,10
29.988,haas,ferrari,2,romain-grosjean,22,pirelli,42,8
31.368,mclaren,renault,2,lando-norris,23,pirelli,47,4
29.675,williams,mercedes,3,george-russell,24,pirelli,50,63
