q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:32.983,mercedes,1:32.835,mercedes,,,1:31.304,lewis-hamilton,19,1,pirelli,44
1:33.630,red-bull,1:33.157,honda,+0.563,+0.563,1:31.867,max-verstappen,21,2,pirelli,33
1:32.656,mercedes,1:32.405,mercedes,+0.089,+0.652,1:31.956,valtteri-bottas,19,3,pirelli,77
1:33.704,racing-point,1:33.038,bwt-mercedes,+0.361,+1.013,1:32.317,sergio-perez,15,4,pirelli,11
1:33.650,renault,1:32.218,renault,+0.047,+1.060,1:32.364,daniel-ricciardo,15,5,pirelli,3
1:33.967,mclaren,1:32.757,renault,+0.186,+1.246,1:32.550,carlos-sainz-jr,15,6,pirelli,55
1:33.557,renault,1:33.196,renault,+0.074,+1.320,1:32.624,esteban-ocon,20,7,pirelli,31
1:33.804,mclaren,1:33.081,renault,+0.223,+1.543,1:32.847,lando-norris,19,8,pirelli,4
1:33.734,alphatauri,1:33.139,honda,+0.153,+1.696,1:33.000,pierre-gasly,21,9,pirelli,10
1:33.919,red-bull,1:33.153,honda,+0.008,+1.704,1:33.008,alexander-albon,19,10,pirelli,23
1:34.071,ferrari,1:33.239,ferrari,,,,charles-leclerc,10,11,pirelli,16
1:33.511,alphatauri,1:33.249,honda,,,,daniil-kvyat,16,12,pirelli,26
1:33.852,racing-point,1:33.364,bwt-mercedes,,,,lance-stroll,11,13,pirelli,18
1:34.020,williams,1:33.583,mercedes,,,,george-russell,11,14,pirelli,63
1:34.134,ferrari,1:33.609,ferrari,,,,sebastian-vettel,11,15,pirelli,5
1:34.592,haas,,ferrari,,,,romain-grosjean,7,16,pirelli,8
1:34.594,alfa-romeo,,ferrari,,,,antonio-giovinazzi,6,17,pirelli,99
1:34.681,haas,,ferrari,,,,kevin-magnussen,8,18,pirelli,20
1:35.066,williams,,mercedes,,,,nicholas-latifi,5,19,pirelli,6
1:35.267,alfa-romeo,,ferrari,,,,kimi-raikkonen,5,20,pirelli,7
