time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
1:34:00.364,mercedes,3,mercedes,,,53,,valtteri-bottas,,1,26,pirelli,77
1:34:08.093,red-bull,2,honda,,+7.729,53,+7.729,max-verstappen,,2,18,pirelli,33
1:34:23.093,mercedes,1,mercedes,,+15.000,53,+22.729,lewis-hamilton,,3,15,pirelli,44
1:34:30.922,racing-point,4,bwt-mercedes,,+7.829,53,+30.558,sergio-perez,,4,12,pirelli,11
1:34:52.429,renault,5,renault,5.000,+21.507,53,+52.065,daniel-ricciardo,,5,10,pirelli,3
1:35:02.550,ferrari,10,ferrari,,+10.121,53,+1:02.186,charles-leclerc,,6,8,pirelli,16
1:35:08.370,renault,7,renault,,+5.820,53,+1:08.006,esteban-ocon,,7,6,pirelli,31
1:35:09.104,alphatauri,11,honda,,+0.734,53,+1:08.740,daniil-kvyat,,8,4,pirelli,26
1:35:30.130,alphatauri,9,honda,,+21.026,53,+1:29.766,pierre-gasly,,9,2,pirelli,10
1:35:38.224,red-bull,15,honda,5.000,+8.094,53,+1:37.860,alexander-albon,,10,1,pirelli,23
,alfa-romeo,17,ferrari,,,52,+1 lap,antonio-giovinazzi,,11,,pirelli,99
,haas,18,ferrari,,,52,+1 lap,kevin-magnussen,,12,,pirelli,20
,ferrari,14,ferrari,,,52,+1 lap,sebastian-vettel,,13,,pirelli,5
,alfa-romeo,19,ferrari,,,52,+1 lap,kimi-raikkonen,,14,,pirelli,7
,mclaren,8,renault,,,52,+1 lap,lando-norris,,15,,pirelli,4
,williams,20,mercedes,,,52,+1 lap,nicholas-latifi,,16,,pirelli,6
,haas,16,ferrari,,,52,+1 lap,romain-grosjean,,17,,pirelli,8
,williams,13,mercedes,,,52,+1 lap,george-russell,,18,,pirelli,63
,mclaren,6,renault,,,0,,carlos-sainz-jr,Accident,DNF,,pirelli,55
,racing-point,12,bwt-mercedes,,,0,,lance-stroll,Collision,DNF,,pirelli,18
