time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:28.139,red-bull,honda,,,max-verstappen,1,pirelli,60,33
1:28.145,mercedes,mercedes,+0.006,+0.006,lewis-hamilton,2,pirelli,58,44
1:29.584,renault,renault,+1.439,+1.445,daniel-ricciardo,3,pirelli,53,3
1:29.700,racing-point,bwt-mercedes,+0.116,+1.561,sergio-perez,4,pirelli,58,11
1:30.110,alphatauri,honda,+0.410,+1.971,pierre-gasly,5,pirelli,53,10
1:30.129,mclaren,renault,+0.019,+1.990,carlos-sainz-jr,6,pirelli,53,55
1:30.408,ferrari,ferrari,+0.279,+2.269,sebastian-vettel,7,pirelli,43,5
1:30.456,haas,ferrari,+0.048,+2.317,kevin-magnussen,8,pirelli,37,20
1:30.512,alfa-romeo,ferrari,+0.056,+2.373,kimi-raikkonen,9,pirelli,54,7
1:30.712,ferrari,ferrari,+0.200,+2.573,charles-leclerc,10,pirelli,54,16
1:30.733,racing-point,bwt-mercedes,+0.021,+2.594,nico-hulkenberg,11,pirelli,58,27
1:30.909,alfa-romeo,ferrari,+0.176,+2.770,antonio-giovinazzi,12,pirelli,38,99
1:31.377,williams,mercedes,+0.468,+3.238,nicholas-latifi,13,pirelli,39,6
1:31.562,haas,ferrari,+0.185,+3.423,romain-grosjean,14,pirelli,54,8
1:31.884,mercedes,mercedes,+0.322,+3.745,valtteri-bottas,15,pirelli,8,77
1:32.214,alphatauri,honda,+0.330,+4.075,daniil-kvyat,16,pirelli,41,26
1:32.328,mclaren,renault,+0.114,+4.189,lando-norris,17,pirelli,40,4
1:32.330,red-bull,honda,+0.002,+4.191,alexander-albon,18,pirelli,9,23
1:33.189,renault,renault,+0.859,+5.050,esteban-ocon,19,pirelli,21,31
1:34.526,williams,mercedes,+1.337,+6.387,george-russell,20,pirelli,6,63
