time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:26.225,mercedes,mercedes,,,25,valtteri-bottas,1,pirelli,77
1:26.361,mercedes,mercedes,+0.136,+0.136,27,lewis-hamilton,2,pirelli,44
1:26.681,ferrari,ferrari,+0.320,+0.456,25,charles-leclerc,3,pirelli,16
1:26.896,red-bull,honda,+0.215,+0.671,24,max-verstappen,4,pirelli,33
1:27.038,ferrari,ferrari,+0.142,+0.813,25,sebastian-vettel,5,pirelli,5
1:27.167,mclaren,renault,+0.129,+0.942,29,lando-norris,6,pirelli,4
1:27.245,racing-point,bwt-mercedes,+0.078,+1.020,25,sergio-perez,7,pirelli,11
1:27.392,renault,renault,+0.147,+1.167,23,daniel-ricciardo,8,pirelli,3
1:27.449,red-bull,honda,+0.057,+1.224,23,alexander-albon,9,pirelli,23
1:27.528,alphatauri,honda,+0.079,+1.303,28,pierre-gasly,10,pirelli,10
1:27.634,renault,renault,+0.106,+1.409,27,esteban-ocon,11,pirelli,31
1:27.795,alphatauri,honda,+0.161,+1.570,26,daniil-kvyat,12,pirelli,26
1:27.924,mclaren,renault,+0.129,+1.699,29,carlos-sainz-jr,13,pirelli,55
1:27.956,alfa-romeo,ferrari,+0.032,+1.731,25,kimi-raikkonen,14,pirelli,7
1:28.115,haas,ferrari,+0.159,+1.890,27,romain-grosjean,15,pirelli,8
1:28.293,haas,ferrari,+0.178,+2.068,27,kevin-magnussen,16,pirelli,20
1:28.343,williams,mercedes,+0.050,+2.118,30,george-russell,17,pirelli,63
1:28.370,alfa-romeo,ferrari,+0.027,+2.145,25,antonio-giovinazzi,18,pirelli,99
1:28.941,williams,mercedes,+0.571,+2.716,26,nicholas-latifi,19,pirelli,6
