time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
23.562,red-bull,honda,1,alexander-albon,1,pirelli,7,23
22.560,ferrari,ferrari,1,charles-leclerc,2,pirelli,10,16
22.865,alfa-romeo,ferrari,1,kimi-raikkonen,3,pirelli,10,7
22.496,williams,mercedes,1,george-russell,4,pirelli,11,63
22.616,ferrari,ferrari,1,sebastian-vettel,5,pirelli,11,5
22.625,mercedes,mercedes,1,valtteri-bottas,6,pirelli,13,77
23.016,haas,ferrari,1,kevin-magnussen,7,pirelli,14,20
24.737,williams,mercedes,1,nicholas-latifi,8,pirelli,14,6
22.482,alfa-romeo,ferrari,1,antonio-giovinazzi,9,pirelli,15,99
23.983,mercedes,mercedes,1,lewis-hamilton,10,pirelli,16,44
22.106,red-bull,honda,1,max-verstappen,11,pirelli,16,33
22.159,renault,renault,1,daniel-ricciardo,12,pirelli,16,3
30.826,alphatauri,honda,1,daniil-kvyat,13,pirelli,17,26
22.880,racing-point,bwt-mercedes,1,sergio-perez,14,pirelli,28,11
22.641,mclaren,renault,1,carlos-sainz-jr,15,pirelli,28,55
23.635,haas,ferrari,1,romain-grosjean,16,pirelli,28,8
21.991,mclaren,renault,1,lando-norris,17,pirelli,29,4
22.700,racing-point,bwt-mercedes,1,nico-hulkenberg,18,pirelli,29,27
22.625,alphatauri,honda,1,pierre-gasly,19,pirelli,30,10
24.063,williams,mercedes,2,nicholas-latifi,20,pirelli,33,6
23.114,haas,ferrari,2,kevin-magnussen,21,pirelli,34,20
23.111,ferrari,ferrari,2,charles-leclerc,22,pirelli,35,16
22.772,alfa-romeo,ferrari,2,antonio-giovinazzi,23,pirelli,36,99
24.366,ferrari,ferrari,2,sebastian-vettel,24,pirelli,41,5
22.530,renault,renault,2,daniel-ricciardo,25,pirelli,44,3
22.503,mclaren,renault,2,carlos-sainz-jr,26,pirelli,44,55
23.180,mercedes,mercedes,2,lewis-hamilton,27,pirelli,45,44
22.568,red-bull,honda,2,max-verstappen,28,pirelli,45,33
22.917,alphatauri,honda,2,pierre-gasly,29,pirelli,44,10
22.686,racing-point,bwt-mercedes,2,nico-hulkenberg,30,pirelli,44,27
33.016,alfa-romeo,ferrari,2,kimi-raikkonen,31,pirelli,44,7
22.527,alphatauri,honda,2,daniil-kvyat,32,pirelli,44,26
22.612,racing-point,bwt-mercedes,2,sergio-perez,33,pirelli,45,11
