q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:26.573,mercedes,1:25.971,mercedes,,,1:25.269,valtteri-bottas,19,1,pirelli,77
1:26.620,mercedes,1:25.390,mercedes,+0.256,+0.256,1:25.525,lewis-hamilton,18,2,pirelli,44
1:26.319,red-bull,1:25.467,honda,+0.037,+0.293,1:25.562,max-verstappen,15,3,pirelli,33
1:26.857,ferrari,1:26.240,ferrari,+0.473,+0.766,1:26.035,charles-leclerc,18,4,pirelli,16
1:27.126,red-bull,1:26.285,honda,+0.012,+0.778,1:26.047,alexander-albon,15,5,pirelli,23
1:26.836,renault,1:26.096,renault,+0.176,+0.954,1:26.223,daniel-ricciardo,18,6,pirelli,3
1:27.086,renault,1:26.364,renault,+0.019,+0.973,1:26.242,esteban-ocon,20,7,pirelli,31
1:26.829,mclaren,1:26.316,renault,+0.216,+1.189,1:26.458,lando-norris,18,8,pirelli,4
1:27.120,racing-point,1:26.330,bwt-mercedes,+0.246,+1.435,1:26.704,sergio-perez,17,9,pirelli,11
1:27.378,mclaren,1:26.361,renault,+0.005,+1.440,1:26.709,carlos-sainz-jr,20,10,pirelli,55
1:27.107,ferrari,1:26.738,ferrari,,,,sebastian-vettel,16,11,pirelli,5
1:27.072,alphatauri,1:26.776,honda,,,,pierre-gasly,16,12,pirelli,10
1:27.285,alphatauri,1:26.848,honda,,,,daniil-kvyat,16,13,pirelli,26
1:27.532,alfa-romeo,1:26.936,ferrari,,,,antonio-giovinazzi,14,14,pirelli,99
1:27.231,haas,1:27.125,ferrari,,,,kevin-magnussen,16,15,pirelli,20
1:27.552,haas,,ferrari,,,,romain-grosjean,10,16,pirelli,8
1:27.564,williams,,mercedes,,,,george-russell,9,17,pirelli,63
1:27.812,williams,,mercedes,,,,nicholas-latifi,9,18,pirelli,6
1:27.817,alfa-romeo,,ferrari,,,,kimi-raikkonen,8,19,pirelli,7
1:28.021,racing-point,,bwt-mercedes,,,,nico-hulkenberg,10,20,pirelli,27
