time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:25.269,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
1:25.525,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:25.562,red-bull,honda,,max-verstappen,3,pirelli,33
1:26.035,ferrari,ferrari,,charles-leclerc,4,pirelli,16
1:26.047,red-bull,honda,,alexander-albon,5,pirelli,23
1:26.223,renault,renault,,daniel-ricciardo,6,pirelli,3
1:26.242,renault,renault,,esteban-ocon,7,pirelli,31
1:26.458,mclaren,renault,,lando-norris,8,pirelli,4
1:26.704,racing-point,bwt-mercedes,,sergio-perez,9,pirelli,11
1:26.709,mclaren,renault,,carlos-sainz-jr,10,pirelli,55
1:26.738,ferrari,ferrari,,sebastian-vettel,11,pirelli,5
1:26.776,alphatauri,honda,,pierre-gasly,12,pirelli,10
1:26.848,alphatauri,honda,,daniil-kvyat,13,pirelli,26
1:26.936,alfa-romeo,ferrari,,antonio-giovinazzi,14,pirelli,99
1:27.125,haas,ferrari,,kevin-magnussen,15,pirelli,20
1:27.552,haas,ferrari,,romain-grosjean,16,pirelli,8
1:27.564,williams,mercedes,,george-russell,17,pirelli,63
1:27.812,williams,mercedes,,nicholas-latifi,18,pirelli,6
1:27.817,alfa-romeo,ferrari,,kimi-raikkonen,19,pirelli,7
1:28.021,racing-point,bwt-mercedes,,nico-hulkenberg,20,pirelli,27
