time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
26.177,racing-point,bwt-mercedes,1,sergio-perez,1,pirelli,1,11
29.061,alfa-romeo,ferrari,1,kimi-raikkonen,2,pirelli,11,7
26.999,renault,renault,1,daniel-ricciardo,3,pirelli,14,3
34.807,mclaren,renault,1,lando-norris,4,pirelli,18,4
36.314,racing-point,bwt-mercedes,1,lance-stroll,5,pirelli,18,18
26.287,red-bull,honda,1,alexander-albon,6,pirelli,19,23
26.394,red-bull,honda,1,max-verstappen,7,pirelli,23,33
26.739,williams,mercedes,1,nicholas-latifi,8,pirelli,24,6
27.211,alphatauri,honda,1,daniil-kvyat,9,pirelli,25,26
27.299,mclaren,renault,1,carlos-sainz-jr,10,pirelli,26,55
26.985,haas,ferrari,1,romain-grosjean,11,pirelli,26,8
26.666,ferrari,ferrari,1,sebastian-vettel,12,pirelli,27,5
27.204,alphatauri,honda,1,pierre-gasly,13,pirelli,28,10
26.473,alfa-romeo,ferrari,1,antonio-giovinazzi,14,pirelli,28,99
27.300,haas,ferrari,1,kevin-magnussen,15,pirelli,31,20
26.940,ferrari,ferrari,1,charles-leclerc,16,pirelli,34,16
37.483,racing-point,bwt-mercedes,2,lance-stroll,17,pirelli,34,18
32.991,williams,mercedes,1,george-russell,18,pirelli,36,63
27.162,mercedes,mercedes,1,lewis-hamilton,19,pirelli,40,44
26.512,mercedes,mercedes,1,valtteri-bottas,20,pirelli,41,77
27.750,mclaren,renault,2,lando-norris,21,pirelli,43,4
26.635,racing-point,bwt-mercedes,2,sergio-perez,22,pirelli,45,11
25.882,red-bull,honda,2,alexander-albon,23,pirelli,46,23
28.535,renault,renault,1,esteban-ocon,24,pirelli,53,31
32.943,alphatauri,honda,2,daniil-kvyat,25,pirelli,55,26
