time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:16.652,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:16.754,mercedes,mercedes,,valtteri-bottas,2,pirelli,77
1:16.904,red-bull,honda,,max-verstappen,3,pirelli,33
1:17.090,ferrari,ferrari,,charles-leclerc,4,pirelli,16
1:17.223,racing-point,bwt-mercedes,,sergio-perez,5,pirelli,11
1:17.437,red-bull,honda,,alexander-albon,6,pirelli,23
1:17.520,mclaren,renault,,carlos-sainz-jr,7,pirelli,55
1:17.525,mclaren,renault,,lando-norris,8,pirelli,4
1:17.803,alphatauri,honda,,pierre-gasly,9,pirelli,10
,renault,renault,,daniel-ricciardo,10,pirelli,3
1:17.614,renault,renault,,esteban-ocon,11,pirelli,31
1:17.626,racing-point,bwt-mercedes,,lance-stroll,12,pirelli,18
1:17.728,alphatauri,honda,,daniil-kvyat,13,pirelli,26
1:17.788,williams,mercedes,,george-russell,14,pirelli,63
1:17.919,ferrari,ferrari,,sebastian-vettel,15,pirelli,5
1:18.201,alfa-romeo,ferrari,,kimi-raikkonen,16,pirelli,7
1:18.323,alfa-romeo,ferrari,,antonio-giovinazzi,17,pirelli,99
1:18.364,haas,ferrari,,romain-grosjean,18,pirelli,8
1:18.508,haas,ferrari,,kevin-magnussen,19,pirelli,20
1:18.777,williams,mercedes,,nicholas-latifi,20,pirelli,6
