time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:15.484,mercedes,mercedes,,,lewis-hamilton,1,pirelli,63,44
1:15.902,mercedes,mercedes,+0.418,+0.418,valtteri-bottas,2,pirelli,63,77
1:16.177,red-bull,honda,+0.275,+0.693,alexander-albon,3,pirelli,63,23
1:17.552,renault,renault,+1.375,+2.068,daniel-ricciardo,4,pirelli,62,3
1:17.637,red-bull,honda,+0.085,+2.153,max-verstappen,5,pirelli,44,33
1:17.666,alphatauri,honda,+0.029,+2.182,daniil-kvyat,6,pirelli,62,26
1:17.767,ferrari,ferrari,+0.101,+2.283,sebastian-vettel,7,pirelli,44,5
1:18.069,mclaren,renault,+0.302,+2.585,lando-norris,8,pirelli,63,4
1:18.084,racing-point,bwt-mercedes,+0.015,+2.600,sergio-perez,9,pirelli,49,11
1:18.088,alfa-romeo,ferrari,+0.004,+2.604,kimi-raikkonen,10,pirelli,63,7
1:18.118,mclaren,renault,+0.030,+2.634,carlos-sainz-jr,11,pirelli,62,55
1:18.173,ferrari,ferrari,+0.055,+2.689,charles-leclerc,12,pirelli,62,16
1:18.360,racing-point,bwt-mercedes,+0.187,+2.876,lance-stroll,13,pirelli,46,18
1:18.719,williams,mercedes,+0.359,+3.235,nicholas-latifi,14,pirelli,37,6
1:18.794,alfa-romeo,ferrari,+0.075,+3.310,antonio-giovinazzi,15,pirelli,61,99
1:18.811,williams,mercedes,+0.017,+3.327,george-russell,16,pirelli,43,63
1:18.822,haas,ferrari,+0.011,+3.338,romain-grosjean,17,pirelli,45,8
1:19.273,haas,ferrari,+0.451,+3.789,kevin-magnussen,18,pirelli,45,20
1:19.606,renault,renault,+0.333,+4.122,esteban-ocon,19,pirelli,22,31
1:20.403,alphatauri,honda,+0.797,+4.919,pierre-gasly,20,pirelli,5,10
