q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:14.221,mercedes,1:14.585,mercedes,,,1:13.609,valtteri-bottas,22,1,pirelli,77
1:14.229,mercedes,1:14.643,mercedes,+0.097,+0.097,1:13.706,lewis-hamilton,22,2,pirelli,44
1:15.034,red-bull,1:14.974,honda,+0.470,+0.567,1:14.176,max-verstappen,16,3,pirelli,33
1:15.183,alphatauri,1:14.681,honda,+0.326,+0.893,1:14.502,pierre-gasly,19,4,pirelli,10
1:15.474,renault,1:14.953,renault,+0.018,+0.911,1:14.520,daniel-ricciardo,18,5,pirelli,3
1:15.402,red-bull,1:14.745,honda,+0.052,+0.963,1:14.572,alexander-albon,21,6,pirelli,23
1:15.123,ferrari,1:15.017,ferrari,+0.044,+1.007,1:14.616,charles-leclerc,20,7,pirelli,16
1:15.412,alphatauri,1:15.022,honda,+0.080,+1.087,1:14.696,daniil-kvyat,21,8,pirelli,26
1:15.274,mclaren,1:15.051,renault,+0.118,+1.205,1:14.814,lando-norris,17,9,pirelli,4
1:15.528,mclaren,1:15.027,renault,+0.097,+1.302,1:14.911,carlos-sainz-jr,19,10,pirelli,55
1:15.407,racing-point,1:15.061,bwt-mercedes,,,,sergio-perez,16,11,pirelli,11
1:15.352,renault,1:15.201,renault,,,,esteban-ocon,14,12,pirelli,31
1:15.760,williams,1:15.323,mercedes,,,,george-russell,18,13,pirelli,63
1:15.571,ferrari,1:15.385,ferrari,,,,sebastian-vettel,20,14,pirelli,5
1:15.822,racing-point,1:15.494,bwt-mercedes,,,,lance-stroll,16,15,pirelli,18
1:15.918,haas,,ferrari,,,,romain-grosjean,10,16,pirelli,8
1:15.939,haas,,ferrari,,,,kevin-magnussen,11,17,pirelli,20
1:15.953,alfa-romeo,,ferrari,,,,kimi-raikkonen,10,18,pirelli,7
1:15.987,williams,,mercedes,,,,nicholas-latifi,12,19,pirelli,6
1:16.208,alfa-romeo,,ferrari,,,,antonio-giovinazzi,8,20,pirelli,99
