q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
2:07.467,racing-point,1:53.372,bwt-mercedes,,,1:47.765,lance-stroll,22,1,pirelli,18
1:57.485,red-bull,1:50.293,honda,+0.290,+0.290,1:48.055,max-verstappen,26,2,pirelli,33
2:07.614,racing-point,1:54.097,bwt-mercedes,+1.266,+1.556,1:49.321,sergio-perez,21,3,pirelli,11
1:59.431,red-bull,1:52.282,honda,+1.127,+2.683,1:50.448,alexander-albon,26,4,pirelli,23
2:05.598,renault,1:54.278,renault,+1.147,+3.830,1:51.595,daniel-ricciardo,26,5,pirelli,3
2:07.599,mercedes,1:52.709,mercedes,+0.965,+4.795,1:52.560,lewis-hamilton,23,6,pirelli,44
2:06.115,renault,1:53.657,renault,+0.062,+4.857,1:52.622,esteban-ocon,26,7,pirelli,31
2:01.249,alfa-romeo,1:53.793,ferrari,+0.123,+4.980,1:52.745,kimi-raikkonen,27,8,pirelli,7
2:07.001,mercedes,1:53.767,mercedes,+0.513,+5.493,1:53.258,valtteri-bottas,23,9,pirelli,77
2:07.341,alfa-romeo,1:53.431,ferrari,+3.968,+9.461,1:57.226,antonio-giovinazzi,26,10,pirelli,99
2:07.167,mclaren,1:54.945,renault,,,,lando-norris,18,11,pirelli,4
2:03.356,ferrari,1:55.169,ferrari,,,,sebastian-vettel,18,12,pirelli,5
2:07.489,mclaren,1:55.410,renault,,,,carlos-sainz-jr,18,13,pirelli,55
2:04.464,ferrari,1:56.696,ferrari,,,,charles-leclerc,18,14,pirelli,16
2:05.579,alphatauri,1:58.556,honda,,,,pierre-gasly,17,15,pirelli,10
2:08.007,haas,,ferrari,,,,kevin-magnussen,10,16,pirelli,20
2:09.070,alphatauri,,honda,,,,daniil-kvyat,8,17,pirelli,26
2:10.017,williams,,mercedes,,,,george-russell,9,18,pirelli,63
2:12.909,haas,,ferrari,,,,romain-grosjean,7,19,pirelli,8
2:21.611,williams,,mercedes,,,,nicholas-latifi,9,20,pirelli,6
