time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
1:42:19.313,mercedes,6,mercedes,,,58,,lewis-hamilton,,1,25,pirelli,44
1:42:50.946,racing-point,3,bwt-mercedes,,+31.633,58,+31.633,sergio-perez,,2,18,pirelli,11
1:42:51.273,ferrari,11,ferrari,,+0.327,58,+31.960,sebastian-vettel,,3,15,pirelli,5
1:42:53.171,ferrari,12,ferrari,,+1.898,58,+33.858,charles-leclerc,,4,12,pirelli,16
1:42:53.676,mclaren,15,renault,,+0.505,58,+34.363,carlos-sainz-jr,,5,10,pirelli,55
1:43:04.186,red-bull,2,honda,,+10.510,58,+44.873,max-verstappen,,6,8,pirelli,33
1:43:05.797,red-bull,4,honda,,+1.611,58,+46.484,alexander-albon,,7,6,pirelli,23
1:43:20.572,mclaren,14,renault,,+14.775,58,+1:01.259,lando-norris,,8,5,pirelli,4
1:43:31.666,racing-point,1,bwt-mercedes,,+11.094,58,+1:12.353,lance-stroll,,9,2,pirelli,18
1:43:54.773,renault,5,renault,,+23.107,58,+1:35.460,daniel-ricciardo,,10,1,pirelli,3
,renault,7,renault,,,57,+1 lap,esteban-ocon,,11,,pirelli,31
,alphatauri,16,honda,,,57,+1 lap,daniil-kvyat,,12,,pirelli,26
,alphatauri,19,honda,,,57,+1 lap,pierre-gasly,,13,,pirelli,10
,mercedes,9,mercedes,,,57,+1 lap,valtteri-bottas,,14,,pirelli,77
,alfa-romeo,8,ferrari,,,57,+1 lap,kimi-raikkonen,,15,,pirelli,7
,williams,PL,mercedes,,,57,+1 lap,george-russell,,16,,pirelli,63
,haas,13,ferrari,,,55,,kevin-magnussen,Withdrew,17,,pirelli,20
,haas,17,ferrari,,,49,,romain-grosjean,Collision damage,DNF,,pirelli,8
,williams,PL,mercedes,,,39,,nicholas-latifi,Collision damage,DNF,,pirelli,6
,alfa-romeo,10,ferrari,,,11,,antonio-giovinazzi,Gearbox,DNF,,pirelli,99
