driverId,position,points
lewis-hamilton,1,332
valtteri-bottas,2,205
max-verstappen,3,189
sergio-perez,4,125
daniel-ricciardo,5,112
charles-leclerc,6,98
carlos-sainz-jr,7,97
alexander-albon,8,93
lando-norris,9,87
lance-stroll,10,74
pierre-gasly,11,71
esteban-ocon,12,60
sebastian-vettel,13,33
daniil-kvyat,14,32
nico-hulkenberg,15,10
kimi-raikkonen,16,4
antonio-giovinazzi,17,4
george-russell,18,3
romain-grosjean,19,2
kevin-magnussen,20,1
nicholas-latifi,21,0
jack-aitken,22,0
pietro-fittipaldi,23,0
