time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
55.404,mercedes,mercedes,,,george-russell,1,pirelli,80,63
56.563,mercedes,mercedes,+1.159,+1.159,valtteri-bottas,2,pirelli,60,77
56.789,racing-point,bwt-mercedes,+0.226,+1.385,sergio-perez,3,pirelli,69,11
56.887,alfa-romeo,ferrari,+0.098,+1.483,antonio-giovinazzi,4,pirelli,56,99
56.905,ferrari,ferrari,+0.018,+1.501,sebastian-vettel,5,pirelli,56,5
56.979,renault,renault,+0.074,+1.575,daniel-ricciardo,6,pirelli,57,3
57.001,alphatauri,honda,+0.022,+1.597,daniil-kvyat,7,pirelli,80,26
57.056,red-bull,honda,+0.055,+1.652,alexander-albon,8,pirelli,52,23
57.165,mclaren,renault,+0.109,+1.761,carlos-sainz-jr,9,pirelli,80,55
57.220,alphatauri,honda,+0.055,+1.816,pierre-gasly,10,pirelli,53,10
57.270,mclaren,renault,+0.050,+1.866,lando-norris,11,pirelli,85,4
57.350,renault,renault,+0.080,+1.946,esteban-ocon,12,pirelli,75,31
57.375,alfa-romeo,ferrari,+0.025,+1.971,kimi-raikkonen,13,pirelli,56,7
57.388,racing-point,bwt-mercedes,+0.013,+1.984,lance-stroll,14,pirelli,85,18
57.392,williams,mercedes,+0.004,+1.988,jack-aitken,15,pirelli,56,89
57.516,haas,ferrari,+0.124,+2.112,kevin-magnussen,16,pirelli,57,20
57.742,haas,ferrari,+0.226,+2.338,pietro-fittipaldi,17,pirelli,56,51
58.206,williams,mercedes,+0.464,+2.802,nicholas-latifi,18,pirelli,29,6
