time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
54.546,mercedes,mercedes,,,49,george-russell,1,pirelli,63
54.722,red-bull,honda,+0.176,+0.176,29,max-verstappen,2,pirelli,33
54.811,red-bull,honda,+0.089,+0.265,18,alexander-albon,3,pirelli,23
54.868,mercedes,mercedes,+0.057,+0.322,44,valtteri-bottas,4,pirelli,77
55.011,alphatauri,honda,+0.143,+0.465,40,daniil-kvyat,5,pirelli,26
55.166,alphatauri,honda,+0.155,+0.620,37,pierre-gasly,6,pirelli,10
55.273,renault,renault,+0.107,+0.727,49,esteban-ocon,7,pirelli,31
55.281,ferrari,ferrari,+0.008,+0.735,40,sebastian-vettel,8,pirelli,5
55.379,renault,renault,+0.098,+0.833,39,daniel-ricciardo,9,pirelli,3
55.449,ferrari,ferrari,+0.070,+0.903,35,charles-leclerc,10,pirelli,16
55.558,racing-point,bwt-mercedes,+0.109,+1.012,41,lance-stroll,11,pirelli,18
55.716,racing-point,bwt-mercedes,+0.158,+1.170,33,sergio-perez,12,pirelli,11
55.757,mclaren,renault,+0.041,+1.211,41,carlos-sainz-jr,13,pirelli,55
55.783,alfa-romeo,ferrari,+0.026,+1.237,32,kimi-raikkonen,14,pirelli,7
55.858,alfa-romeo,ferrari,+0.075,+1.312,35,antonio-giovinazzi,15,pirelli,99
56.078,mclaren,renault,+0.220,+1.532,47,lando-norris,16,pirelli,4
56.130,haas,ferrari,+0.052,+1.584,37,kevin-magnussen,17,pirelli,20
56.764,williams,mercedes,+0.634,+2.218,48,nicholas-latifi,18,pirelli,6
57.077,haas,ferrari,+0.313,+2.531,24,pietro-fittipaldi,19,pirelli,51
57.187,williams,mercedes,+0.110,+2.641,33,jack-aitken,20,pirelli,89
