time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
24.214,racing-point,bwt-mercedes,1,sergio-perez,1,pirelli,1,11
24.885,mclaren,renault,1,lando-norris,2,pirelli,20,4
28.518,alfa-romeo,ferrari,1,kimi-raikkonen,3,pirelli,23,7
24.810,alfa-romeo,ferrari,1,antonio-giovinazzi,4,pirelli,26,99
25.474,haas,ferrari,1,kevin-magnussen,5,pirelli,26,20
24.101,alphatauri,honda,1,daniil-kvyat,6,pirelli,27,26
24.297,williams,mercedes,1,nicholas-latifi,7,pirelli,27,6
24.162,mclaren,renault,1,carlos-sainz-jr,8,pirelli,28,55
25.077,alphatauri,honda,1,pierre-gasly,9,pirelli,28,10
24.474,renault,renault,1,daniel-ricciardo,10,pirelli,29,3
26.216,ferrari,ferrari,1,sebastian-vettel,11,pirelli,31,5
24.863,williams,mercedes,1,jack-aitken,12,pirelli,31,89
27.681,haas,ferrari,1,pietro-fittipaldi,13,pirelli,31,51
24.414,renault,renault,1,esteban-ocon,14,pirelli,41,31
24.684,racing-point,bwt-mercedes,1,lance-stroll,15,pirelli,42,18
24.708,mercedes,mercedes,1,george-russell,16,pirelli,45,63
24.507,racing-point,bwt-mercedes,2,sergio-perez,17,pirelli,47,11
23.874,red-bull,honda,1,alexander-albon,18,pirelli,47,23
24.552,mercedes,mercedes,1,valtteri-bottas,19,pirelli,49,77
24.577,alphatauri,honda,2,pierre-gasly,20,pirelli,51,10
24.232,alphatauri,honda,2,daniil-kvyat,21,pirelli,53,26
24.245,mclaren,renault,2,lando-norris,22,pirelli,54,4
26.393,haas,ferrari,2,pietro-fittipaldi,23,pirelli,53,51
28.080,ferrari,ferrari,2,sebastian-vettel,24,pirelli,54,5
24.551,alfa-romeo,ferrari,2,antonio-giovinazzi,25,pirelli,54,99
25.466,haas,ferrari,2,kevin-magnussen,26,pirelli,54,20
25.688,williams,mercedes,2,jack-aitken,27,pirelli,54,89
24.401,alfa-romeo,ferrari,2,kimi-raikkonen,28,pirelli,54,7
24.853,mclaren,renault,2,carlos-sainz-jr,29,pirelli,55,55
24.695,renault,renault,2,daniel-ricciardo,30,pirelli,55,3
40.028,williams,mercedes,3,jack-aitken,31,pirelli,59,89
28.765,mercedes,mercedes,2,george-russell,32,pirelli,62,63
52.874,mercedes,mercedes,2,valtteri-bottas,33,pirelli,62,77
23.645,red-bull,honda,2,alexander-albon,34,pirelli,62,23
24.724,mercedes,mercedes,3,george-russell,35,pirelli,63,63
24.686,alfa-romeo,ferrari,3,kimi-raikkonen,36,pirelli,62,7
24.809,ferrari,ferrari,3,sebastian-vettel,37,pirelli,63,5
25.780,haas,ferrari,3,pietro-fittipaldi,38,pirelli,63,51
24.235,mercedes,mercedes,4,george-russell,39,pirelli,78,63
