q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
53.904,mercedes,53.803,mercedes,,,53.377,valtteri-bottas,24,1,pirelli,77
54.160,mercedes,53.819,mercedes,+0.026,+0.026,53.403,george-russell,25,2,pirelli,63
54.037,red-bull,53.647,honda,+0.030,+0.056,53.433,max-verstappen,17,3,pirelli,33
54.249,ferrari,53.825,ferrari,+0.180,+0.236,53.613,charles-leclerc,21,4,pirelli,16
54.236,racing-point,53.787,bwt-mercedes,+0.177,+0.413,53.790,sergio-perez,17,5,pirelli,11
54.346,alphatauri,53.856,honda,+0.116,+0.529,53.906,daniil-kvyat,26,6,pirelli,26
54.388,renault,53.871,renault,+0.051,+0.580,53.957,daniel-ricciardo,15,7,pirelli,3
54.450,mclaren,53.818,renault,+0.053,+0.633,54.010,carlos-sainz-jr,20,8,pirelli,55
54.207,alphatauri,53.941,honda,+0.144,+0.777,54.154,pierre-gasly,28,9,pirelli,10
54.595,racing-point,53.840,bwt-mercedes,+0.046,+0.823,54.200,lance-stroll,19,10,pirelli,18
54.309,renault,53.995,renault,,,,esteban-ocon,13,11,pirelli,31
54.620,red-bull,54.026,honda,,,,alexander-albon,12,12,pirelli,23
54.301,ferrari,54.175,ferrari,,,,sebastian-vettel,17,13,pirelli,5
54.523,alfa-romeo,54.377,ferrari,,,,antonio-giovinazzi,14,14,pirelli,99
54.194,mclaren,54.693,renault,,,,lando-norris,15,15,pirelli,4
54.705,haas,,ferrari,,,,kevin-magnussen,9,16,pirelli,20
54.796,williams,,mercedes,,,,nicholas-latifi,11,17,pirelli,6
54.892,williams,,mercedes,,,,jack-aitken,9,18,pirelli,89
54.963,alfa-romeo,,ferrari,,,,kimi-raikkonen,11,19,pirelli,7
55.426,haas,,ferrari,,,,pietro-fittipaldi,11,20,pirelli,51
