time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
53.377,mercedes,mercedes,,valtteri-bottas,1,pirelli,77
53.403,mercedes,mercedes,,george-russell,2,pirelli,63
53.433,red-bull,honda,,max-verstappen,3,pirelli,33
53.613,ferrari,ferrari,,charles-leclerc,4,pirelli,16
53.790,racing-point,bwt-mercedes,,sergio-perez,5,pirelli,11
53.906,alphatauri,honda,,daniil-kvyat,6,pirelli,26
53.957,renault,renault,,daniel-ricciardo,7,pirelli,3
54.010,mclaren,renault,,carlos-sainz-jr,8,pirelli,55
54.154,alphatauri,honda,,pierre-gasly,9,pirelli,10
54.200,racing-point,bwt-mercedes,,lance-stroll,10,pirelli,18
53.995,renault,renault,,esteban-ocon,11,pirelli,31
54.026,red-bull,honda,,alexander-albon,12,pirelli,23
54.175,ferrari,ferrari,,sebastian-vettel,13,pirelli,5
54.377,alfa-romeo,ferrari,,antonio-giovinazzi,14,pirelli,99
54.705,haas,ferrari,,kevin-magnussen,15,pirelli,20
54.796,williams,mercedes,,nicholas-latifi,16,pirelli,6
54.892,williams,mercedes,,jack-aitken,17,pirelli,89
54.963,alfa-romeo,ferrari,,kimi-raikkonen,18,pirelli,7
54.693,mclaren,renault,SFB,lando-norris,19,pirelli,4
55.426,haas,ferrari,SFB,pietro-fittipaldi,20,pirelli,51
