time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:40.926,renault,renault,,,daniel-ricciardo,1,pirelli,55,3
1:40.958,red-bull,honda,+0.032,+0.032,max-verstappen,2,pirelli,14,33
1:41.131,mercedes,mercedes,+0.173,+0.205,valtteri-bottas,3,pirelli,40,77
1:41.227,red-bull,honda,+0.096,+0.301,alexander-albon,4,pirelli,42,23
1:41.420,mercedes,mercedes,+0.193,+0.494,lewis-hamilton,5,pirelli,37,44
1:41.475,ferrari,ferrari,+0.055,+0.549,sebastian-vettel,6,pirelli,37,5
1:41.675,alfa-romeo,ferrari,+0.200,+0.749,antonio-giovinazzi,7,pirelli,29,99
1:41.707,haas,ferrari,+0.032,+0.781,pietro-fittipaldi,8,pirelli,50,51
1:41.866,racing-point,bwt-mercedes,+0.159,+0.940,lance-stroll,9,pirelli,41,18
1:41.908,ferrari,ferrari,+0.042,+0.982,charles-leclerc,10,pirelli,24,16
1:41.947,mclaren,renault,+0.039,+1.021,carlos-sainz-jr,11,pirelli,48,55
1:41.964,mclaren,renault,+0.017,+1.038,lando-norris,12,pirelli,53,4
1:41.999,haas,ferrari,+0.035,+1.073,kevin-magnussen,13,pirelli,50,20
1:42.148,alfa-romeo,ferrari,+0.149,+1.222,kimi-raikkonen,14,pirelli,53,7
1:42.474,alphatauri,honda,+0.326,+1.548,pierre-gasly,15,pirelli,53,10
1:42.497,williams,mercedes,+0.023,+1.571,nicholas-latifi,16,pirelli,49,6
1:42.704,alphatauri,honda,+0.207,+1.778,daniil-kvyat,17,pirelli,47,26
1:42.894,renault,renault,+0.190,+1.968,esteban-ocon,18,pirelli,47,31
1:43.263,racing-point,bwt-mercedes,+0.369,+2.337,sergio-perez,19,pirelli,6,11
1:43.328,williams,mercedes,+0.065,+2.402,george-russell,20,pirelli,54,63
