time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:30.577,red-bull,honda,,,11,max-verstappen,1,pirelli,33
1:31.316,mercedes,mercedes,+0.739,+0.739,14,lewis-hamilton,2,pirelli,44
1:31.583,alphatauri,honda,+0.267,+1.006,13,pierre-gasly,3,pirelli,10
1:31.855,mercedes,mercedes,+0.272,+1.278,16,valtteri-bottas,4,pirelli,77
1:31.908,red-bull,honda,+0.053,+1.331,11,sergio-perez,5,pirelli,11
1:32.108,ferrari,ferrari,+0.200,+1.531,16,carlos-sainz-jr,6,pirelli,55
1:32.224,alfa-romeo,ferrari,+0.116,+1.647,15,kimi-raikkonen,7,pirelli,7
1:32.423,alpine,renault,+0.199,+1.846,11,esteban-ocon,8,pirelli,31
1:32.431,aston-martin,mercedes,+0.008,+1.854,13,lance-stroll,9,pirelli,18
1:32.477,mclaren,mercedes,+0.046,+1.900,12,daniel-ricciardo,10,pirelli,3
1:32.482,ferrari,ferrari,+0.005,+1.905,17,charles-leclerc,11,pirelli,16
1:32.500,alfa-romeo,ferrari,+0.018,+1.923,11,antonio-giovinazzi,12,pirelli,99
1:32.709,alphatauri,honda,+0.209,+2.132,15,yuki-tsunoda,13,pirelli,22
1:32.755,aston-martin,mercedes,+0.046,+2.178,15,sebastian-vettel,14,pirelli,5
1:32.820,alpine,renault,+0.065,+2.243,15,fernando-alonso,15,pirelli,14
1:32.860,mclaren,mercedes,+0.040,+2.283,10,lando-norris,16,pirelli,4
1:33.323,williams,mercedes,+0.463,+2.746,14,george-russell,17,pirelli,63
1:33.422,haas,ferrari,+0.099,+2.845,14,mick-schumacher,18,pirelli,47
1:33.622,haas,ferrari,+0.200,+3.045,14,nikita-mazepin,19,pirelli,9
1:33.959,williams,mercedes,+0.337,+3.382,16,nicholas-latifi,20,pirelli,6
