time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
23.993,red-bull,honda,1,sergio-perez,1,pirelli,2,11
38.338,alphatauri,honda,1,pierre-gasly,2,pirelli,4,10
24.373,alpine,renault,1,fernando-alonso,3,pirelli,11,14
24.899,mclaren,mercedes,1,lando-norris,4,pirelli,12,4
24.925,ferrari,ferrari,1,charles-leclerc,5,pirelli,12,16
24.884,aston-martin,mercedes,1,lance-stroll,6,pirelli,12,18
31.998,alfa-romeo,ferrari,1,antonio-giovinazzi,7,pirelli,12,99
24.839,mercedes,mercedes,1,lewis-hamilton,8,pirelli,13,44
24.688,mclaren,mercedes,1,daniel-ricciardo,9,pirelli,13,3
24.107,alfa-romeo,ferrari,1,kimi-raikkonen,10,pirelli,13,7
25.226,alpine,renault,1,esteban-ocon,11,pirelli,13,31
24.621,williams,mercedes,1,george-russell,12,pirelli,13,63
26.046,williams,mercedes,1,nicholas-latifi,13,pirelli,14,6
25.798,haas,ferrari,1,mick-schumacher,14,pirelli,14,47
24.353,ferrari,ferrari,1,carlos-sainz-jr,15,pirelli,15,55
25.046,alphatauri,honda,1,yuki-tsunoda,16,pirelli,15,22
24.262,mercedes,mercedes,1,valtteri-bottas,17,pirelli,16,77
24.767,red-bull,honda,1,max-verstappen,18,pirelli,17,33
24.105,red-bull,honda,2,sergio-perez,19,pirelli,19,11
24.317,alphatauri,honda,2,pierre-gasly,20,pirelli,19,10
24.626,aston-martin,mercedes,1,sebastian-vettel,21,pirelli,24,5
24.076,mercedes,mercedes,2,lewis-hamilton,22,pirelli,28,44
25.525,aston-martin,mercedes,2,lance-stroll,23,pirelli,28,18
24.046,alfa-romeo,ferrari,2,kimi-raikkonen,24,pirelli,29,7
24.775,alpine,renault,2,fernando-alonso,25,pirelli,29,14
32.897,mercedes,mercedes,2,valtteri-bottas,26,pirelli,30,77
24.223,alfa-romeo,ferrari,2,antonio-giovinazzi,27,pirelli,30,99
24.471,alpine,renault,2,esteban-ocon,28,pirelli,31,31
24.176,ferrari,ferrari,2,charles-leclerc,29,pirelli,32,16
24.655,mclaren,mercedes,2,daniel-ricciardo,30,pirelli,32,3
23.983,williams,mercedes,2,nicholas-latifi,31,pirelli,32,6
25.640,mclaren,mercedes,2,lando-norris,32,pirelli,33,4
24.328,alphatauri,honda,2,yuki-tsunoda,33,pirelli,33,22
25.343,haas,ferrari,2,mick-schumacher,34,pirelli,33,47
24.248,williams,mercedes,2,george-russell,35,pirelli,36,63
24.341,ferrari,ferrari,2,carlos-sainz-jr,36,pirelli,37,55
24.191,red-bull,honda,3,sergio-perez,37,pirelli,38,11
23.848,red-bull,honda,2,max-verstappen,38,pirelli,39,33
24.983,alphatauri,honda,3,pierre-gasly,39,pirelli,39,10
24.566,mercedes,mercedes,3,valtteri-bottas,40,pirelli,54,77
