time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:19.865,mercedes,mercedes,,,valtteri-bottas,1,pirelli,65,77
1:20.643,red-bull,honda,+0.778,+0.778,sergio-perez,2,pirelli,55,11
1:20.695,red-bull,honda,+0.052,+0.830,max-verstappen,3,pirelli,62,33
1:20.933,mercedes,mercedes,+0.238,+1.068,lewis-hamilton,4,pirelli,47,44
1:21.032,alpine,renault,+0.099,+1.167,fernando-alonso,5,pirelli,66,14
1:21.496,ferrari,ferrari,+0.464,+1.631,charles-leclerc,6,pirelli,63,16
1:21.696,mclaren,mercedes,+0.200,+1.831,lando-norris,7,pirelli,55,4
1:21.886,alpine,renault,+0.190,+2.021,esteban-ocon,8,pirelli,34,31
1:21.970,aston-martin,mercedes,+0.084,+2.105,lance-stroll,9,pirelli,59,18
1:21.987,mclaren,mercedes,+0.017,+2.122,daniel-ricciardo,10,pirelli,64,3
1:22.014,alphatauri,honda,+0.027,+2.149,pierre-gasly,11,pirelli,65,10
1:22.058,alphatauri,honda,+0.044,+2.193,yuki-tsunoda,12,pirelli,61,22
1:22.167,alfa-romeo,ferrari,+0.109,+2.302,antonio-giovinazzi,13,pirelli,60,99
1:22.325,ferrari,ferrari,+0.158,+2.460,carlos-sainz-jr,14,pirelli,60,55
1:22.416,aston-martin,mercedes,+0.091,+2.551,sebastian-vettel,15,pirelli,60,5
1:22.654,williams,mercedes,+0.238,+2.789,george-russell,16,pirelli,60,63
1:22.755,haas,ferrari,+0.101,+2.890,mick-schumacher,17,pirelli,61,47
1:23.155,williams,mercedes,+0.400,+3.290,nicholas-latifi,18,pirelli,60,6
1:23.641,haas,ferrari,+0.486,+3.776,nikita-mazepin,19,pirelli,64,9
