time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:18.489,red-bull,honda,,,21,max-verstappen,1,pirelli,33
1:18.725,mercedes,mercedes,+0.236,+0.236,21,lewis-hamilton,2,pirelli,44
1:18.820,mercedes,mercedes,+0.095,+0.331,19,valtteri-bottas,3,pirelli,77
1:18.840,red-bull,honda,+0.020,+0.351,25,sergio-perez,4,pirelli,11
1:18.860,alpine,renault,+0.020,+0.371,19,esteban-ocon,5,pirelli,31
1:19.001,ferrari,ferrari,+0.141,+0.512,23,charles-leclerc,6,pirelli,16
1:19.050,ferrari,ferrari,+0.049,+0.561,24,carlos-sainz-jr,7,pirelli,55
1:19.272,mclaren,mercedes,+0.222,+0.783,18,lando-norris,8,pirelli,4
1:19.374,alphatauri,honda,+0.102,+0.885,26,pierre-gasly,9,pirelli,10
1:19.415,alfa-romeo,ferrari,+0.041,+0.926,26,kimi-raikkonen,10,pirelli,7
1:19.485,alphatauri,honda,+0.070,+0.996,25,yuki-tsunoda,11,pirelli,22
1:19.582,mclaren,mercedes,+0.097,+1.093,19,daniel-ricciardo,12,pirelli,3
1:19.588,alfa-romeo,ferrari,+0.006,+1.099,23,antonio-giovinazzi,13,pirelli,99
1:19.949,alpine,renault,+0.361,+1.460,20,fernando-alonso,14,pirelli,14
1:20.033,haas,ferrari,+0.084,+1.544,22,mick-schumacher,15,pirelli,47
1:20.090,aston-martin,mercedes,+0.057,+1.601,17,lance-stroll,16,pirelli,18
1:20.127,williams,mercedes,+0.037,+1.638,18,george-russell,17,pirelli,63
1:20.214,aston-martin,mercedes,+0.087,+1.725,21,sebastian-vettel,18,pirelli,5
1:20.681,williams,mercedes,+0.467,+2.192,19,nicholas-latifi,19,pirelli,6
1:20.690,haas,ferrari,+0.009,+2.201,20,nikita-mazepin,20,pirelli,9
