q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:18.722,mercedes,1:18.458,mercedes,,,1:18.348,valtteri-bottas,23,1,pirelli,77
1:18.857,mercedes,1:17.968,mercedes,+0.007,+0.007,1:18.355,lewis-hamilton,24,2,pirelli,44
1:19.485,red-bull,1:18.650,honda,+0.391,+0.398,1:18.746,max-verstappen,20,3,pirelli,33
1:19.337,red-bull,1:18.845,honda,+0.144,+0.542,1:18.890,sergio-perez,22,4,pirelli,11
1:19.309,ferrari,1:18.813,ferrari,+0.149,+0.691,1:19.039,carlos-sainz-jr,23,5,pirelli,55
1:19.092,alpine,1:18.586,renault,+0.003,+0.694,1:19.042,esteban-ocon,17,6,pirelli,31
1:18.794,mclaren,1:18.481,mercedes,+0.074,+0.768,1:19.116,lando-norris,24,7,pirelli,4
1:19.373,ferrari,1:18.769,ferrari,+0.190,+0.958,1:19.306,charles-leclerc,29,8,pirelli,16
1:19.464,alphatauri,1:19.052,honda,+0.169,+1.127,1:19.475,pierre-gasly,26,9,pirelli,10
1:19.403,aston-martin,1:18.970,mercedes,+0.184,+1.311,1:19.659,sebastian-vettel,22,10,pirelli,5
1:19.797,williams,1:19.109,mercedes,,,,george-russell,15,11,pirelli,63
1:19.410,alfa-romeo,1:19.216,ferrari,,,,antonio-giovinazzi,19,12,pirelli,99
1:19.728,alpine,1:19.456,renault,,,,fernando-alonso,12,13,pirelli,14
1:19.684,alphatauri,1:19.463,honda,,,,yuki-tsunoda,17,14,pirelli,22
1:19.748,alfa-romeo,1:19.812,ferrari,,,,kimi-raikkonen,19,15,pirelli,7
1:19.839,mclaren,,mercedes,,,,daniel-ricciardo,11,16,pirelli,3
1:19.913,aston-martin,,mercedes,,,,lance-stroll,10,17,pirelli,18
1:20.285,williams,,mercedes,,,,nicholas-latifi,9,18,pirelli,6
1:20.452,haas,,ferrari,,,,mick-schumacher,11,19,pirelli,47
1:20.912,haas,,ferrari,,,,nikita-mazepin,11,20,pirelli,9
