time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:18.149,red-bull,honda,,,max-verstappen,1,pirelli,62,33
1:19.430,mercedes,mercedes,+1.281,+1.281,valtteri-bottas,2,pirelli,65,77
1:19.483,red-bull,honda,+0.053,+1.334,sergio-perez,3,pirelli,60,11
1:20.459,ferrari,ferrari,+0.976,+2.310,charles-leclerc,4,pirelli,64,16
1:20.665,mercedes,mercedes,+0.206,+2.516,lewis-hamilton,5,pirelli,54,44
1:21.182,alpine,renault,+0.517,+3.033,fernando-alonso,6,pirelli,63,14
1:21.279,mclaren,mercedes,+0.097,+3.130,lando-norris,7,pirelli,56,4
1:21.375,alphatauri,honda,+0.096,+3.226,pierre-gasly,8,pirelli,64,10
1:21.568,ferrari,ferrari,+0.193,+3.419,carlos-sainz-jr,9,pirelli,53,55
1:21.853,mclaren,mercedes,+0.285,+3.704,daniel-ricciardo,10,pirelli,60,3
1:22.607,aston-martin,mercedes,+0.754,+4.458,lance-stroll,11,pirelli,47,18
1:22.637,haas,ferrari,+0.030,+4.488,mick-schumacher,12,pirelli,54,47
1:22.802,alfa-romeo,ferrari,+0.165,+4.653,antonio-giovinazzi,13,pirelli,42,99
1:22.820,aston-martin,mercedes,+0.018,+4.671,sebastian-vettel,14,pirelli,56,5
1:22.868,alfa-romeo,ferrari,+0.048,+4.719,kimi-raikkonen,15,pirelli,54,7
1:22.905,williams,mercedes,+0.037,+4.756,nicholas-latifi,16,pirelli,57,6
1:23.208,williams,mercedes,+0.303,+5.059,george-russell,17,pirelli,30,63
1:23.311,alpine,renault,+0.103,+5.162,esteban-ocon,18,pirelli,46,31
1:24.040,haas,ferrari,+0.729,+5.891,nikita-mazepin,19,pirelli,45,9
1:24.825,alphatauri,honda,+0.785,+6.676,yuki-tsunoda,20,pirelli,5,22
