time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:12.487,red-bull,honda,,,36,sergio-perez,1,pirelli,11
1:12.606,ferrari,ferrari,+0.119,+0.119,32,carlos-sainz-jr,2,pirelli,55
1:12.648,red-bull,honda,+0.042,+0.161,39,max-verstappen,3,pirelli,33
1:12.929,alphatauri,honda,+0.281,+0.442,37,pierre-gasly,4,pirelli,10
1:12.995,mercedes,mercedes,+0.066,+0.508,34,lewis-hamilton,5,pirelli,44
1:13.131,mercedes,mercedes,+0.136,+0.644,36,valtteri-bottas,6,pirelli,77
1:13.236,mclaren,mercedes,+0.105,+0.749,31,lando-norris,7,pirelli,4
1:13.732,aston-martin,mercedes,+0.496,+1.245,33,sebastian-vettel,8,pirelli,5
1:13.746,alphatauri,honda,+0.014,+1.259,39,yuki-tsunoda,9,pirelli,22
1:14.081,alfa-romeo,ferrari,+0.335,+1.594,31,kimi-raikkonen,10,pirelli,7
1:14.090,aston-martin,mercedes,+0.009,+1.603,33,lance-stroll,11,pirelli,18
1:14.106,alfa-romeo,ferrari,+0.016,+1.619,27,antonio-giovinazzi,12,pirelli,99
1:14.205,alpine,renault,+0.099,+1.718,37,fernando-alonso,13,pirelli,14
1:14.268,williams,mercedes,+0.063,+1.781,41,nicholas-latifi,14,pirelli,6
1:14.281,mclaren,mercedes,+0.013,+1.794,36,daniel-ricciardo,15,pirelli,3
1:14.320,alpine,renault,+0.039,+1.833,37,esteban-ocon,16,pirelli,31
1:14.616,haas,ferrari,+0.296,+2.129,33,nikita-mazepin,17,pirelli,9
1:14.801,haas,ferrari,+0.185,+2.314,35,mick-schumacher,18,pirelli,47
1:14.840,williams,mercedes,+0.039,+2.353,35,george-russell,19,pirelli,63
1:19.618,ferrari,ferrari,+4.778,+7.131,4,charles-leclerc,20,pirelli,16
