time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
19.970,williams,mercedes,1,george-russell,1,pirelli,1,63
20.402,alfa-romeo,ferrari,1,antonio-giovinazzi,2,pirelli,2,99
20.168,alpine,renault,1,fernando-alonso,3,pirelli,7,14
20.533,mclaren,mercedes,1,lando-norris,4,pirelli,7,4
22.440,haas,ferrari,1,mick-schumacher,5,pirelli,8,47
19.836,ferrari,ferrari,1,charles-leclerc,6,pirelli,9,16
20.253,alphatauri,honda,1,yuki-tsunoda,7,pirelli,9,22
22.149,williams,mercedes,1,nicholas-latifi,8,pirelli,9,6
21.759,haas,ferrari,1,nikita-mazepin,9,pirelli,9,9
20.064,ferrari,ferrari,1,carlos-sainz-jr,10,pirelli,10,55
22.470,mercedes,mercedes,1,lewis-hamilton,11,pirelli,11,44
20.156,alphatauri,honda,1,pierre-gasly,12,pirelli,11,10
20.356,mercedes,mercedes,1,valtteri-bottas,13,pirelli,11,77
20.082,mclaren,mercedes,1,daniel-ricciardo,14,pirelli,11,3
19.769,red-bull,honda,1,max-verstappen,15,pirelli,12,33
21.874,red-bull,honda,1,sergio-perez,16,pirelli,13,11
20.048,alfa-romeo,ferrari,1,kimi-raikkonen,17,pirelli,13,7
19.841,aston-martin,mercedes,1,sebastian-vettel,18,pirelli,18,5
19.983,alpine,renault,2,fernando-alonso,19,pirelli,34,14
20.193,alfa-romeo,ferrari,2,antonio-giovinazzi,20,pirelli,34,99
20.029,williams,mercedes,2,george-russell,21,pirelli,34,63
1:09.761,haas,ferrari,2,mick-schumacher,22,pirelli,34,47
21.958,haas,ferrari,2,nikita-mazepin,23,pirelli,34,9
21.587,haas,ferrari,3,mick-schumacher,24,pirelli,44,47
24.780,haas,ferrari,3,nikita-mazepin,25,pirelli,44,9
15.277,red-bull,honda,2,sergio-perez,26,pirelli,47,11
15.432,mercedes,mercedes,2,lewis-hamilton,27,pirelli,47,44
14.945,aston-martin,mercedes,2,sebastian-vettel,28,pirelli,47,5
15.085,alphatauri,honda,2,pierre-gasly,29,pirelli,47,10
15.092,ferrari,ferrari,2,charles-leclerc,30,pirelli,47,16
14.943,alphatauri,honda,2,yuki-tsunoda,31,pirelli,47,22
15.866,mclaren,mercedes,2,lando-norris,32,pirelli,47,4
15.119,ferrari,ferrari,2,carlos-sainz-jr,33,pirelli,47,55
14.994,mclaren,mercedes,2,daniel-ricciardo,34,pirelli,47,3
15.432,alpine,renault,3,fernando-alonso,35,pirelli,47,14
15.064,alfa-romeo,ferrari,2,kimi-raikkonen,36,pirelli,47,7
14.881,alfa-romeo,ferrari,3,antonio-giovinazzi,37,pirelli,47,99
21.346,mercedes,mercedes,2,valtteri-bottas,38,pirelli,47,77
21.438,williams,mercedes,3,george-russell,39,pirelli,47,63
15.054,haas,ferrari,4,nikita-mazepin,40,pirelli,46,9
15.058,haas,ferrari,4,mick-schumacher,41,pirelli,47,47
33:18.466,red-bull,honda,3,sergio-perez,42,pirelli,48,11
33:20.923,mercedes,mercedes,3,lewis-hamilton,43,pirelli,48,44
33:20.416,aston-martin,mercedes,3,sebastian-vettel,44,pirelli,48,5
33:21.830,alphatauri,honda,3,pierre-gasly,45,pirelli,48,10
33:22.544,ferrari,ferrari,3,charles-leclerc,46,pirelli,48,16
33:23.526,alphatauri,honda,3,yuki-tsunoda,47,pirelli,48,22
33:30.409,mclaren,mercedes,3,lando-norris,48,pirelli,48,4
33:32.724,ferrari,ferrari,3,carlos-sainz-jr,49,pirelli,48,55
33:35.163,mclaren,mercedes,3,daniel-ricciardo,50,pirelli,48,3
33:34.526,alpine,renault,4,fernando-alonso,51,pirelli,48,14
33:36.437,alfa-romeo,ferrari,3,kimi-raikkonen,52,pirelli,48,7
33:37.324,alfa-romeo,ferrari,4,antonio-giovinazzi,53,pirelli,48,99
34:08.175,williams,mercedes,2,nicholas-latifi,54,pirelli,48,6
33:55.229,mercedes,mercedes,3,valtteri-bottas,55,pirelli,48,77
33:56.172,williams,mercedes,4,george-russell,56,pirelli,48,63
30:28.965,haas,ferrari,5,nikita-mazepin,57,pirelli,47,9
33:34.176,haas,ferrari,5,mick-schumacher,58,pirelli,48,47
1:26.440,haas,ferrari,6,nikita-mazepin,59,pirelli,48,9
