q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:42.241,ferrari,1:41.659,ferrari,,,1:41.218,charles-leclerc,19,1,pirelli,16
1:41.545,mercedes,1:41.634,mercedes,+0.232,+0.232,1:41.450,lewis-hamilton,21,2,pirelli,44
1:41.760,red-bull,1:41.625,honda,+0.113,+0.345,1:41.563,max-verstappen,19,3,pirelli,33
1:42.288,alphatauri,1:41.932,honda,+0.002,+0.347,1:41.565,pierre-gasly,18,4,pirelli,10
1:42.121,ferrari,1:41.740,ferrari,+0.011,+0.358,1:41.576,carlos-sainz-jr,18,5,pirelli,55
1:42.167,mclaren,1:41.813,mercedes,+0.171,+0.529,1:41.747,lando-norris,20,6,pirelli,4
1:41.968,red-bull,1:41.630,honda,+0.170,+0.699,1:41.917,sergio-perez,18,7,pirelli,11
1:42.521,alphatauri,1:41.654,honda,+0.294,+0.993,1:42.211,yuki-tsunoda,19,8,pirelli,22
1:42.934,alpine,1:42.195,renault,+0.116,+1.109,1:42.327,fernando-alonso,20,9,pirelli,14
1:42.701,mercedes,1:42.106,mercedes,+0.332,+1.441,1:42.659,valtteri-bottas,21,10,pirelli,77
1:42.460,aston-martin,1:42.224,mercedes,,,,sebastian-vettel,15,11,pirelli,5
1:42.426,alpine,1:42.273,renault,,,,esteban-ocon,11,12,pirelli,31
1:42.304,mclaren,1:42.558,mercedes,,,,daniel-ricciardo,14,13,pirelli,3
1:42.923,alfa-romeo,1:42.587,ferrari,,,,kimi-raikkonen,15,14,pirelli,7
1:42.728,williams,1:42.758,mercedes,,,,george-russell,12,15,pirelli,63
1:43.128,williams,,mercedes,,,,nicholas-latifi,8,16,pirelli,6
1:44.158,haas,,ferrari,,,,mick-schumacher,10,17,pirelli,47
1:44.238,haas,,ferrari,,,,nikita-mazepin,9,18,pirelli,9
,aston-martin,,mercedes,,,,lance-stroll,2,NC,pirelli,18
,alfa-romeo,,ferrari,,,,antonio-giovinazzi,4,NC,pirelli,99
