time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:41.218,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:41.450,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:41.563,red-bull,honda,,max-verstappen,3,pirelli,33
1:41.565,alphatauri,honda,,pierre-gasly,4,pirelli,10
1:41.576,ferrari,ferrari,,carlos-sainz-jr,5,pirelli,55
1:41.917,red-bull,honda,,sergio-perez,6,pirelli,11
1:42.211,alphatauri,honda,,yuki-tsunoda,7,pirelli,22
1:42.327,alpine,renault,,fernando-alonso,8,pirelli,14
1:41.747,mclaren,mercedes,3,lando-norris,9,pirelli,4
1:42.659,mercedes,mercedes,,valtteri-bottas,10,pirelli,77
1:42.224,aston-martin,mercedes,,sebastian-vettel,11,pirelli,5
1:42.273,alpine,renault,,esteban-ocon,12,pirelli,31
1:42.558,mclaren,mercedes,,daniel-ricciardo,13,pirelli,3
1:42.587,alfa-romeo,ferrari,,kimi-raikkonen,14,pirelli,7
1:42.758,williams,mercedes,,george-russell,15,pirelli,63
1:43.128,williams,mercedes,,nicholas-latifi,16,pirelli,6
1:44.158,haas,ferrari,,mick-schumacher,17,pirelli,47
1:44.238,haas,ferrari,,nikita-mazepin,18,pirelli,9
,aston-martin,mercedes,,lance-stroll,19,pirelli,18
,alfa-romeo,ferrari,,antonio-giovinazzi,20,pirelli,99
