time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:36.404,red-bull,honda,,,max-verstappen,1,pirelli,35,33
1:36.693,red-bull,honda,+0.289,+0.289,sergio-perez,2,pirelli,53,11
1:36.960,mercedes,mercedes,+0.267,+0.556,valtteri-bottas,3,pirelli,19,77
1:37.138,aston-martin,mercedes,+0.178,+0.734,sebastian-vettel,4,pirelli,52,5
1:37.410,mercedes,mercedes,+0.272,+1.006,lewis-hamilton,5,pirelli,44,44
1:37.425,mclaren,mercedes,+0.015,+1.021,lando-norris,6,pirelli,52,4
1:37.646,alpine,renault,+0.221,+1.242,fernando-alonso,7,pirelli,44,14
1:37.681,ferrari,ferrari,+0.035,+1.277,charles-leclerc,8,pirelli,43,16
1:37.828,aston-martin,mercedes,+0.147,+1.424,lance-stroll,9,pirelli,44,18
1:37.992,alfa-romeo,ferrari,+0.164,+1.588,kimi-raikkonen,10,pirelli,46,7
1:38.103,alphatauri,honda,+0.111,+1.699,pierre-gasly,11,pirelli,44,10
1:38.313,williams,mercedes,+0.210,+1.909,nicholas-latifi,12,pirelli,50,6
1:38.314,williams,mercedes,+0.001,+1.910,george-russell,13,pirelli,52,63
1:38.324,mclaren,mercedes,+0.010,+1.920,daniel-ricciardo,14,pirelli,45,3
1:38.645,alpine,renault,+0.321,+2.241,esteban-ocon,15,pirelli,33,31
1:38.702,alfa-romeo,ferrari,+0.057,+2.298,antonio-giovinazzi,16,pirelli,36,99
1:38.847,haas,ferrari,+0.145,+2.443,mick-schumacher,17,pirelli,51,47
1:38.931,ferrari,ferrari,+0.084,+2.527,carlos-sainz-jr,18,pirelli,19,55
1:38.980,alphatauri,honda,+0.049,+2.576,yuki-tsunoda,19,pirelli,18,22
1:39.317,haas,ferrari,+0.337,+2.913,nikita-mazepin,20,pirelli,34,9
