time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:32.872,red-bull,honda,,,21,max-verstappen,1,pirelli,33
1:32.880,mercedes,mercedes,+0.008,+0.008,27,valtteri-bottas,2,pirelli,77
1:33.125,mercedes,mercedes,+0.245,+0.253,23,lewis-hamilton,3,pirelli,44
1:33.340,alpine,renault,+0.215,+0.468,25,fernando-alonso,4,pirelli,14
1:33.550,ferrari,ferrari,+0.210,+0.678,23,charles-leclerc,5,pirelli,16
1:33.685,alpine,renault,+0.135,+0.813,23,esteban-ocon,6,pirelli,31
1:33.696,alphatauri,honda,+0.011,+0.824,25,pierre-gasly,7,pirelli,10
1:33.698,ferrari,ferrari,+0.002,+0.826,24,carlos-sainz-jr,8,pirelli,55
1:33.786,alfa-romeo,ferrari,+0.088,+0.914,26,kimi-raikkonen,9,pirelli,7
1:33.822,mclaren,mercedes,+0.036,+0.950,24,lando-norris,10,pirelli,4
1:33.831,alfa-romeo,ferrari,+0.009,+0.959,23,antonio-giovinazzi,11,pirelli,99
1:33.921,red-bull,honda,+0.090,+1.049,24,sergio-perez,12,pirelli,11
1:33.955,alphatauri,honda,+0.034,+1.083,25,yuki-tsunoda,13,pirelli,22
1:34.079,mclaren,mercedes,+0.124,+1.207,24,daniel-ricciardo,14,pirelli,3
1:34.447,aston-martin,mercedes,+0.368,+1.575,25,sebastian-vettel,15,pirelli,5
1:34.632,aston-martin,mercedes,+0.185,+1.760,24,lance-stroll,16,pirelli,18
1:35.266,williams,mercedes,+0.634,+2.394,25,george-russell,17,pirelli,63
1:35.331,williams,mercedes,+0.065,+2.459,25,nicholas-latifi,18,pirelli,6
1:35.512,haas,ferrari,+0.181,+2.640,24,mick-schumacher,19,pirelli,47
1:35.551,haas,ferrari,+0.039,+2.679,23,nikita-mazepin,20,pirelli,9
