time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
28.386,ferrari,ferrari,1,charles-leclerc,1,pirelli,1,16
26.419,williams,mercedes,1,nicholas-latifi,2,pirelli,1,6
22.759,haas,ferrari,1,nikita-mazepin,3,pirelli,21,9
21.210,alfa-romeo,ferrari,1,antonio-giovinazzi,4,pirelli,23,99
37.309,williams,mercedes,1,george-russell,5,pirelli,25,63
23.477,red-bull,honda,1,sergio-perez,6,pirelli,26,11
21.953,williams,mercedes,2,nicholas-latifi,7,pirelli,25,6
21.234,alphatauri,honda,1,yuki-tsunoda,8,pirelli,26,22
46.315,williams,mercedes,2,george-russell,9,pirelli,26,63
21.752,mercedes,mercedes,1,valtteri-bottas,10,pirelli,27,77
21.131,alpine,renault,1,fernando-alonso,11,pirelli,27,14
21.546,aston-martin,mercedes,1,sebastian-vettel,12,pirelli,27,5
21.219,mercedes,mercedes,1,lewis-hamilton,13,pirelli,28,44
20.936,aston-martin,mercedes,1,lance-stroll,14,pirelli,28,18
20.936,red-bull,honda,1,max-verstappen,15,pirelli,29,33
21.692,mclaren,mercedes,1,lando-norris,16,pirelli,31,4
22.400,haas,ferrari,1,mick-schumacher,17,pirelli,33,47
21.227,alfa-romeo,ferrari,1,kimi-raikkonen,18,pirelli,36,7
21.238,alpine,renault,1,esteban-ocon,19,pirelli,36,31
21.924,ferrari,ferrari,2,charles-leclerc,20,pirelli,37,16
21.226,ferrari,ferrari,1,carlos-sainz-jr,21,pirelli,41,55
21.410,mclaren,mercedes,1,daniel-ricciardo,22,pirelli,41,3
20.961,red-bull,honda,2,sergio-perez,23,pirelli,54,11
21.640,mercedes,mercedes,2,lewis-hamilton,24,pirelli,69,44
