time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:03.841,red-bull,honda,,max-verstappen,1,pirelli,33
1:04.067,mercedes,mercedes,,lewis-hamilton,2,pirelli,44
1:04.120,mclaren,mercedes,,lando-norris,3,pirelli,4
1:04.168,red-bull,honda,,sergio-perez,4,pirelli,11
1:04.035,mercedes,mercedes,3,valtteri-bottas,5,pirelli,77
1:04.236,alphatauri,honda,,pierre-gasly,6,pirelli,10
1:04.472,ferrari,ferrari,,charles-leclerc,7,pirelli,16
1:04.574,alpine,renault,,fernando-alonso,8,pirelli,14
1:04.708,aston-martin,mercedes,,lance-stroll,9,pirelli,18
1:04.671,williams,mercedes,,george-russell,10,pirelli,63
1:04.514,alphatauri,honda,3,yuki-tsunoda,11,pirelli,22
1:04.800,ferrari,ferrari,,carlos-sainz-jr,12,pirelli,55
1:04.808,mclaren,mercedes,,daniel-ricciardo,13,pirelli,3
1:04.875,aston-martin,mercedes,,sebastian-vettel,14,pirelli,5
1:04.913,alfa-romeo,ferrari,,antonio-giovinazzi,15,pirelli,99
1:05.175,williams,mercedes,,nicholas-latifi,16,pirelli,6
1:05.217,alpine,renault,,esteban-ocon,17,pirelli,31
1:05.429,alfa-romeo,ferrari,,kimi-raikkonen,18,pirelli,7
1:06.041,haas,ferrari,,mick-schumacher,19,pirelli,47
1:06.192,haas,ferrari,,nikita-mazepin,20,pirelli,9
