time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,grandSlam,tyreManufacturerId,driverNumber
1:23:54.543,red-bull,1,honda,,,71,,max-verstappen,,1,26,True,pirelli,33
1:24:12.516,mercedes,5,mercedes,,+17.973,71,+17.973,valtteri-bottas,,2,18,,pirelli,77
1:24:14.562,mclaren,2,mercedes,,+2.046,71,+20.019,lando-norris,,3,15,,pirelli,4
1:24:40.995,mercedes,4,mercedes,,+26.433,71,+46.452,lewis-hamilton,,4,12,,pirelli,44
1:24:51.687,ferrari,10,ferrari,,+10.692,71,+57.144,carlos-sainz-jr,,5,10,,pirelli,55
1:24:52.458,red-bull,3,honda,10.000,+0.771,71,+57.915,sergio-perez,,6,8,,pirelli,11
1:24:54.938,mclaren,13,mercedes,,+2.480,71,+1:00.395,daniel-ricciardo,,7,6,,pirelli,3
1:24:55.738,ferrari,12,ferrari,,+0.800,71,+1:01.195,charles-leclerc,,8,4,,pirelli,16
1:24:56.387,alphatauri,6,honda,,+0.649,71,+1:01.844,pierre-gasly,,9,2,,pirelli,10
,alpine,14,renault,,,70,+1 lap,fernando-alonso,,10,1,,pirelli,14
,williams,8,mercedes,,,70,+1 lap,george-russell,,11,,,pirelli,63
,alphatauri,7,honda,5.000,,70,+1 lap,yuki-tsunoda,,12,,,pirelli,22
,aston-martin,9,mercedes,5.000,,70,+1 lap,lance-stroll,,13,,,pirelli,18
,alfa-romeo,15,ferrari,,,70,+1 lap,antonio-giovinazzi,,14,,,pirelli,99
,alfa-romeo,16,ferrari,20.000,,70,+1 lap,kimi-raikkonen,,15,,,pirelli,7
,williams,18,mercedes,30.000,,70,+1 lap,nicholas-latifi,,16,,,pirelli,6
,aston-martin,11,mercedes,,,69,,sebastian-vettel,,17,,,pirelli,5
,haas,19,ferrari,,,69,+2 laps,mick-schumacher,,18,,,pirelli,47
,haas,20,ferrari,30.000,,69,+2 laps,nikita-mazepin,,19,,,pirelli,9
,alpine,17,renault,,,0,,esteban-ocon,Collision,DNF,,,pirelli,31
