time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:29.902,red-bull,honda,,,23,max-verstappen,1,pirelli,33
1:30.277,ferrari,ferrari,+0.375,+0.375,30,charles-leclerc,2,pirelli,16
1:30.507,ferrari,ferrari,+0.230,+0.605,29,carlos-sainz-jr,3,pirelli,55
1:30.707,alpine,renault,+0.200,+0.805,31,esteban-ocon,4,pirelli,31
1:30.800,red-bull,honda,+0.093,+0.898,27,sergio-perez,5,pirelli,11
1:31.030,mclaren,mercedes,+0.230,+1.128,24,lando-norris,6,pirelli,4
1:31.034,mclaren,mercedes,+0.004,+1.132,23,daniel-ricciardo,7,pirelli,3
1:31.131,mercedes,mercedes,+0.097,+1.229,28,lewis-hamilton,8,pirelli,44
1:31.180,mercedes,mercedes,+0.049,+1.278,27,valtteri-bottas,9,pirelli,77
1:31.188,alphatauri,honda,+0.008,+1.286,31,pierre-gasly,10,pirelli,10
1:31.237,williams,mercedes,+0.049,+1.335,24,george-russell,11,pirelli,63
1:31.263,alfa-romeo,ferrari,+0.026,+1.361,29,antonio-giovinazzi,12,pirelli,99
1:31.289,alpine,renault,+0.026,+1.387,27,fernando-alonso,13,pirelli,14
1:31.328,alfa-romeo,ferrari,+0.039,+1.426,26,kimi-raikkonen,14,pirelli,7
1:31.337,williams,mercedes,+0.009,+1.435,30,nicholas-latifi,15,pirelli,6
1:31.404,alphatauri,honda,+0.067,+1.502,32,yuki-tsunoda,16,pirelli,22
1:31.593,aston-martin,mercedes,+0.189,+1.691,34,sebastian-vettel,17,pirelli,5
1:32.041,aston-martin,mercedes,+0.448,+2.139,31,lance-stroll,18,pirelli,18
1:32.474,haas,ferrari,+0.433,+2.572,31,nikita-mazepin,19,pirelli,9
1:34.017,haas,ferrari,+1.543,+4.115,28,mick-schumacher,20,pirelli,47
