time,constructorId,engineManufacturerId,stop,driverId,position,tyreManufacturerId,lap,driverNumber
34:07.731,ferrari,ferrari,1,charles-leclerc,1,pirelli,2,16
34:08.376,mercedes,mercedes,1,lewis-hamilton,2,pirelli,2,44
34:09.149,mercedes,mercedes,1,valtteri-bottas,3,pirelli,2,77
34:12.218,mclaren,mercedes,1,lando-norris,4,pirelli,2,4
34:11.281,mclaren,mercedes,1,daniel-ricciardo,5,pirelli,2,3
34:15.222,aston-martin,mercedes,1,sebastian-vettel,6,pirelli,2,5
34:18.580,alpine,renault,1,fernando-alonso,7,pirelli,2,14
34:19.122,ferrari,ferrari,1,carlos-sainz-jr,8,pirelli,2,55
34:22.984,alfa-romeo,ferrari,1,kimi-raikkonen,9,pirelli,2,7
34:26.994,alpine,renault,1,esteban-ocon,10,pirelli,2,31
34:27.861,aston-martin,mercedes,1,lance-stroll,11,pirelli,2,18
34:27.244,alphatauri,honda,1,pierre-gasly,12,pirelli,2,10
34:30.250,alfa-romeo,ferrari,1,antonio-giovinazzi,13,pirelli,2,99
34:32.543,williams,mercedes,1,george-russell,14,pirelli,2,63
34:35.695,alphatauri,honda,1,yuki-tsunoda,15,pirelli,2,22
34:35.728,haas,ferrari,1,mick-schumacher,16,pirelli,2,47
34:37.164,williams,mercedes,1,nicholas-latifi,17,pirelli,2,6
34:36.977,haas,ferrari,1,nikita-mazepin,18,pirelli,2,9
34:36.405,red-bull,honda,1,sergio-perez,19,pirelli,2,11
28.110,alfa-romeo,ferrari,2,kimi-raikkonen,20,pirelli,18,7
27.892,red-bull,honda,2,sergio-perez,21,pirelli,18,11
27.812,williams,mercedes,2,george-russell,22,pirelli,18,63
28.145,aston-martin,mercedes,2,sebastian-vettel,23,pirelli,18,5
28.772,alpine,renault,2,esteban-ocon,24,pirelli,19,31
27.543,williams,mercedes,2,nicholas-latifi,25,pirelli,19,6
28.817,mclaren,mercedes,2,daniel-ricciardo,26,pirelli,20,3
31.706,mclaren,mercedes,2,lando-norris,27,pirelli,21,4
28.209,mercedes,mercedes,2,valtteri-bottas,28,pirelli,22,77
28.213,aston-martin,mercedes,2,lance-stroll,29,pirelli,23,18
28.137,alfa-romeo,ferrari,2,antonio-giovinazzi,30,pirelli,23,99
29.743,alpine,renault,2,fernando-alonso,31,pirelli,24,14
29.319,haas,ferrari,2,mick-schumacher,32,pirelli,24,47
29.253,haas,ferrari,2,nikita-mazepin,33,pirelli,25,9
40.266,mercedes,mercedes,2,lewis-hamilton,34,pirelli,27,44
37.509,ferrari,ferrari,2,carlos-sainz-jr,35,pirelli,28,55
28.685,alphatauri,honda,2,pierre-gasly,36,pirelli,28,10
28.433,ferrari,ferrari,2,charles-leclerc,37,pirelli,29,16
29.134,alphatauri,honda,2,yuki-tsunoda,38,pirelli,30,22
27.848,red-bull,honda,3,sergio-perez,39,pirelli,38,11
28.180,alphatauri,honda,3,pierre-gasly,40,pirelli,46,10
29.082,red-bull,honda,4,sergio-perez,41,pirelli,48,11
