time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
25:38.426,red-bull,2,honda,,,17,,max-verstappen,,1,3,pirelli,33
25:39.856,mercedes,1,mercedes,,+1.430,17,+1.430,lewis-hamilton,,2,2,pirelli,44
25:45.928,mercedes,3,mercedes,,+6.072,17,+7.502,valtteri-bottas,,3,1,pirelli,77
25:49.704,ferrari,4,ferrari,,+3.776,17,+11.278,charles-leclerc,,4,,pirelli,16
26:02.537,mclaren,6,mercedes,,+12.833,17,+24.111,lando-norris,,5,,pirelli,4
26:09.385,mclaren,7,mercedes,,+6.848,17,+30.959,daniel-ricciardo,,6,,pirelli,3
26:21.953,alpine,11,renault,,+12.568,17,+43.527,fernando-alonso,,7,,pirelli,14
26:22.865,aston-martin,10,mercedes,,+0.912,17,+44.439,sebastian-vettel,,8,,pirelli,5
26:25.078,williams,8,mercedes,,+2.213,17,+46.652,george-russell,,9,,pirelli,63
26:25.821,alpine,13,renault,,+0.743,17,+47.395,esteban-ocon,,10,,pirelli,31
26:26.224,ferrari,9,ferrari,,+0.403,17,+47.798,carlos-sainz-jr,,11,,pirelli,55
26:27.189,alphatauri,12,honda,,+0.965,17,+48.763,pierre-gasly,,12,,pirelli,10
26:29.103,alfa-romeo,17,ferrari,,+1.914,17,+50.677,kimi-raikkonen,,13,,pirelli,7
26:30.605,aston-martin,15,mercedes,,+1.502,17,+52.179,lance-stroll,,14,,pirelli,18
26:31.651,alfa-romeo,14,ferrari,,+1.046,17,+53.225,antonio-giovinazzi,,15,,pirelli,99
26:31.993,alphatauri,16,honda,,+0.342,17,+53.567,yuki-tsunoda,,16,,pirelli,22
26:33.588,williams,18,mercedes,,+1.595,17,+55.162,nicholas-latifi,,17,,pirelli,6
26:46.639,haas,19,ferrari,,+13.051,17,+1:08.213,mick-schumacher,,18,,pirelli,47
26:56.074,haas,20,ferrari,,+9.435,17,+1:17.648,nikita-mazepin,,19,,pirelli,9
,red-bull,5,honda,,,16,,sergio-perez,Vibration,20,,pirelli,11
