time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:26.134,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:26.209,red-bull,honda,,max-verstappen,2,pirelli,33
1:26.328,mercedes,mercedes,,valtteri-bottas,3,pirelli,77
1:26.828,ferrari,ferrari,,charles-leclerc,4,pirelli,16
1:26.844,red-bull,honda,,sergio-perez,5,pirelli,11
1:26.897,mclaren,mercedes,,lando-norris,6,pirelli,4
1:26.899,mclaren,mercedes,,daniel-ricciardo,7,pirelli,3
1:26.971,williams,mercedes,,george-russell,8,pirelli,63
1:27.007,ferrari,ferrari,,carlos-sainz-jr,9,pirelli,55
1:27.179,aston-martin,mercedes,,sebastian-vettel,10,pirelli,5
1:27.245,alpine,renault,,fernando-alonso,11,pirelli,14
1:27.273,alphatauri,honda,,pierre-gasly,12,pirelli,10
1:27.340,alpine,renault,,esteban-ocon,13,pirelli,31
1:27.617,alfa-romeo,ferrari,,antonio-giovinazzi,14,pirelli,99
1:27.665,aston-martin,mercedes,,lance-stroll,15,pirelli,18
1:28.043,alphatauri,honda,,yuki-tsunoda,16,pirelli,22
1:28.062,alfa-romeo,ferrari,,kimi-raikkonen,17,pirelli,7
1:28.254,williams,mercedes,,nicholas-latifi,18,pirelli,6
1:28.738,haas,ferrari,,mick-schumacher,19,pirelli,47
1:29.051,haas,ferrari,,nikita-mazepin,20,pirelli,9
