q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:58.717,red-bull,1:56.559,honda,,,1:59.765,max-verstappen,20,1,pirelli,33
1:59.864,williams,1:56.950,mercedes,+0.321,+0.321,2:00.086,george-russell,24,2,pirelli,63
1:59.218,mercedes,1:56.229,mercedes,+0.013,+0.334,2:00.099,lewis-hamilton,22,3,pirelli,44
2:01.583,mclaren,1:57.127,mercedes,+0.765,+1.099,2:00.864,daniel-ricciardo,22,4,pirelli,3
2:00.175,aston-martin,1:56.814,mercedes,+0.071,+1.170,2:00.935,sebastian-vettel,23,5,pirelli,5
2:00.387,alphatauri,1:56.440,honda,+0.229,+1.399,2:01.164,pierre-gasly,23,6,pirelli,10
1:59.334,red-bull,1:56.886,honda,+0.948,+2.347,2:02.112,sergio-perez,22,7,pirelli,11
1:59.870,mercedes,1:56.295,mercedes,+0.390,+2.737,2:02.502,valtteri-bottas,22,8,pirelli,77
2:01.824,alpine,1:57.354,renault,+1.011,+3.748,2:03.513,esteban-ocon,23,9,pirelli,31
1:58.301,mclaren,1:56.025,mercedes,,,,lando-norris,19,10,pirelli,4
2:00.728,ferrari,1:57.721,ferrari,,,,charles-leclerc,16,11,pirelli,16
2:00.966,williams,1:58.056,mercedes,,,,nicholas-latifi,17,12,pirelli,6
2:01.184,ferrari,1:58.137,ferrari,,,,carlos-sainz-jr,15,13,pirelli,55
2:01.653,alpine,1:58.205,renault,,,,fernando-alonso,16,14,pirelli,14
2:01.597,aston-martin,1:58.231,mercedes,,,,lance-stroll,16,15,pirelli,18
2:02.306,alfa-romeo,,ferrari,,,,antonio-giovinazzi,9,16,pirelli,99
2:02.413,alphatauri,,honda,,,,yuki-tsunoda,9,17,pirelli,22
2:03.973,haas,,ferrari,,,,mick-schumacher,9,18,pirelli,47
2:04.452,alfa-romeo,,ferrari,,,,kimi-raikkonen,9,19,pirelli,7
2:04.939,haas,,ferrari,,,,nikita-mazepin,8,20,pirelli,9
