q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:10.036,red-bull,1:09.071,honda,,,1:08.885,max-verstappen,15,1,pirelli,33
1:10.114,mercedes,1:09.726,mercedes,+0.038,+0.038,1:08.923,lewis-hamilton,17,2,pirelli,44
1:10.219,mercedes,1:09.769,mercedes,+0.299,+0.337,1:09.222,valtteri-bottas,17,3,pirelli,77
1:10.274,alphatauri,1:09.541,honda,+0.256,+0.593,1:09.478,pierre-gasly,17,4,pirelli,10
1:09.829,ferrari,1:09.437,ferrari,+0.049,+0.642,1:09.527,charles-leclerc,18,5,pirelli,16
1:10.022,ferrari,1:09.870,ferrari,+0.010,+0.652,1:09.537,carlos-sainz-jr,19,6,pirelli,55
1:10.050,alfa-romeo,1:10.033,ferrari,+0.053,+0.705,1:09.590,antonio-giovinazzi,17,7,pirelli,99
1:10.179,alpine,1:09.919,renault,+0.343,+1.048,1:09.933,esteban-ocon,17,8,pirelli,31
1:10.435,alpine,1:10.020,renault,+0.023,+1.071,1:09.956,fernando-alonso,13,9,pirelli,14
1:10.255,mclaren,1:09.865,mercedes,+0.210,+1.281,1:10.166,daniel-ricciardo,17,10,pirelli,3
1:10.382,williams,1:10.332,mercedes,,,,george-russell,13,11,pirelli,63
1:10.438,aston-martin,1:10.367,mercedes,,,,lance-stroll,13,12,pirelli,18
1:10.489,mclaren,1:10.406,mercedes,,,,lando-norris,13,13,pirelli,4
1:10.093,williams,1:11.161,mercedes,,,,nicholas-latifi,16,14,pirelli,6
1:10.462,alphatauri,1:11.314,honda,,,,yuki-tsunoda,15,15,pirelli,22
1:10.530,red-bull,,honda,,,,sergio-perez,9,16,pirelli,11
1:10.731,aston-martin,,mercedes,,,,sebastian-vettel,7,17,pirelli,5
1:11.301,alfa-romeo,,ferrari,,,,robert-kubica,9,18,pirelli,88
1:11.387,haas,,ferrari,,,,mick-schumacher,11,19,pirelli,47
1:11.875,haas,,ferrari,,,,nikita-mazepin,10,20,pirelli,9
