time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:24.812,mclaren,mercedes,,,daniel-ricciardo,1,pirelli,53,3
1:24.827,mercedes,mercedes,+0.015,+0.015,valtteri-bottas,2,pirelli,34,77
1:24.971,mclaren,mercedes,+0.144,+0.159,lando-norris,3,pirelli,53,4
1:25.156,red-bull,honda,+0.185,+0.344,sergio-perez,4,pirelli,53,11
1:25.173,red-bull,honda,+0.017,+0.361,max-verstappen,5,pirelli,25,33
1:25.319,ferrari,ferrari,+0.146,+0.507,charles-leclerc,6,pirelli,53,16
1:25.472,alpine,renault,+0.153,+0.660,fernando-alonso,7,pirelli,52,14
1:25.559,ferrari,ferrari,+0.087,+0.747,carlos-sainz-jr,8,pirelli,53,55
1:25.566,alpine,renault,+0.007,+0.754,esteban-ocon,9,pirelli,53,31
1:25.718,alfa-romeo,ferrari,+0.152,+0.906,antonio-giovinazzi,10,pirelli,50,99
1:25.835,williams,mercedes,+0.117,+1.023,george-russell,11,pirelli,53,63
1:25.849,alfa-romeo,ferrari,+0.014,+1.037,robert-kubica,12,pirelli,53,88
1:25.853,aston-martin,mercedes,+0.004,+1.041,lance-stroll,13,pirelli,52,18
1:25.870,mercedes,mercedes,+0.017,+1.058,lewis-hamilton,14,pirelli,3,44
1:25.938,aston-martin,mercedes,+0.068,+1.126,sebastian-vettel,15,pirelli,50,5
1:25.953,williams,mercedes,+0.015,+1.141,nicholas-latifi,16,pirelli,50,6
1:26.707,haas,ferrari,+0.754,+1.895,mick-schumacher,17,pirelli,52,47
1:27.202,haas,ferrari,+0.495,+2.390,nikita-mazepin,18,pirelli,41,9
1:29.005,alphatauri,honda,+1.803,+4.193,pierre-gasly,19,pirelli,2,10
