time,constructorId,gridPosition,engineManufacturerId,timePenalty,interval,laps,gap,driverId,reasonRetired,position,points,tyreManufacturerId,driverNumber
27:54.078,mercedes,1,mercedes,,,18,,valtteri-bottas,,1,3,pirelli,77
27:56.403,red-bull,3,honda,,+2.325,18,+2.325,max-verstappen,,2,2,pirelli,33
28:08.612,mclaren,5,mercedes,,+12.209,18,+14.534,daniel-ricciardo,,3,1,pirelli,3
28:12.913,mclaren,4,mercedes,,+4.301,18,+18.835,lando-norris,,4,,pirelli,4
28:14.089,mercedes,2,mercedes,,+1.176,18,+20.011,lewis-hamilton,,5,,pirelli,44
28:17.520,ferrari,8,ferrari,,+3.431,18,+23.442,charles-leclerc,,6,,pirelli,16
28:22.030,ferrari,7,ferrari,,+4.510,18,+27.952,carlos-sainz-jr,,7,,pirelli,55
28:25.167,alfa-romeo,10,ferrari,,+3.137,18,+31.089,antonio-giovinazzi,,8,,pirelli,99
28:25.758,red-bull,9,honda,,+0.591,18,+31.680,sergio-perez,,9,,pirelli,11
28:32.749,aston-martin,12,mercedes,,+6.991,18,+38.671,lance-stroll,,10,,pirelli,18
28:33.873,alpine,13,renault,,+1.124,18,+39.795,fernando-alonso,,11,,pirelli,14
28:35.255,aston-martin,11,mercedes,,+1.382,18,+41.177,sebastian-vettel,,12,,pirelli,5
28:37.451,alpine,14,renault,,+2.196,18,+43.373,esteban-ocon,,13,,pirelli,31
28:40.055,williams,16,mercedes,,+2.604,18,+45.977,nicholas-latifi,,14,,pirelli,6
28:40.899,williams,15,mercedes,,+0.844,18,+46.821,george-russell,,15,,pirelli,63
28:44.055,alphatauri,17,honda,,+3.156,18,+49.977,yuki-tsunoda,,16,,pirelli,22
28:56.677,haas,20,ferrari,,+12.622,18,+1:02.599,nikita-mazepin,,17,,pirelli,9
28:59.174,alfa-romeo,19,ferrari,,+2.497,18,+1:05.096,robert-kubica,,18,,pirelli,88
29:00.232,haas,18,ferrari,,+1.058,18,+1:06.154,mick-schumacher,,19,,pirelli,47
,alphatauri,6,honda,,,0,,pierre-gasly,Accident,DNF,,pirelli,10
